item_code,construct,construct_label,origin,lang,language_name,primary,text
gen7,GEN,General Anchor,,PL,Polish,yes,Lubię Chiny
gen7,GEN,General Anchor,,RU,Russian,yes,Мне нравится Китай.
gen7,GEN,General Anchor,,SR,Serbian,yes,Свиђа ми се Кина
gen7,GEN,General Anchor,,TR,Turkish,yes,Çin'i seviyorum
gen7,GEN,General Anchor,,UK,Ukrainian,no,Мені подобається Китай
th6,THREAT,Threat,,EN,English,yes,I am angry when I think about how my country is being used by foreign countries
th6,THREAT,Threat,,AR,Arabic,no,أشعر بالغضب عندما أفكر في كيفية استخدام بلدي من قبل الدول الأجنبية
th6,THREAT,Threat,,BG,Bulgarian,yes,"Ядосвам се, когато си помисля как страната ми се използва от чужди държави"
th6,THREAT,Threat,,ZH-S,Chinese (Simplified),no,想到我的国家被外国利用，我就感到愤怒
th6,THREAT,Threat,,NL,Dutch,yes,Ik word boos als ik denk aan de manier waarop mijn land door andere landen wordt gebruikt
th6,THREAT,Threat,,ET,Estonian,yes,"Mind ajab vihale mõte sellest, kuidas võõrad riigid minu riiki ära kasutavad"
th6,THREAT,Threat,,FR,French,yes,Je suis en colère quand je pense à la façon dont mon pays est utilisé par des pays étrangers
th6,THREAT,Threat,,KAT,Georgian,no,"ვბრაზდები, როცა ვფიქრობ, როგორ იყენებენ ჩემს ქვეყანას უცხო ქვეყნები."
th6,THREAT,Threat,,DE,German,yes,"Ich werde wütend, wenn ich daran denke, wie mein Land vom Ausland ausgenutzt wird"
th6,THREAT,Threat,,HU,Hungarian,yes,"Dühös vagyok, amikor arra gondolok, hogyan használják fel a hazámat külföldi országok"
th6,THREAT,Threat,,IT,Italian,yes,Mi arrabbio quando penso a come il mio paese viene usato dai paesi stranieri
th6,THREAT,Threat,,LV,Latvian,yes,"Jūtu dusmas, kad domāju par to, kā ārvalstis izmanto manu valsti"
th6,THREAT,Threat,,LT,Lithuanian,yes,"Pykstu, kai galvoju, kaip mano šalimi naudojasi užsienio šalys"
th6,THREAT,Threat,,FA,Persian (Farsi),no,وقتی به این فکر می‌کنم که کشورهای خارجی چطور از کشورم سوءاستفاده می‌کنند، عصبانی می‌شوم.
th6,THREAT,Threat,,PL,Polish,yes,"Złości mnie myśl o tym, jak mój kraj jest wykorzystywany przez inne kraje"
th6,THREAT,Threat,,RU,Russian,yes,"Я злюсь, когда думаю о том, как мою страну используют другие страны."
th6,THREAT,Threat,,SR,Serbian,yes,Љут/a сам када помислим како моју земљу користе стране земље
th6,THREAT,Threat,,TR,Turkish,yes,Ülkemin yabancı ülkeler tarafından nasıl kullanıldığını düşündüğümde öfkeleniyorum
th6,THREAT,Threat,,UK,Ukrainian,no,"Я злюся, коли думаю про те, як мою країну використовують іноземні держави"
th9,THREAT,Threat,,EN,English,yes,I am worried by the spread of LGBT+ propaganda
th9,THREAT,Threat,,AR,Arabic,no,أنا قلق بشأن انتشار دعاية LGBT+
th9,THREAT,Threat,,BG,Bulgarian,yes,Притеснявам се от разпространението на ЛГБТ+ пропаганда
th9,THREAT,Threat,,ZH-S,Chinese (Simplified),no,我对 LGBT+ 宣传的扩散感到担忧
th9,THREAT,Threat,,NL,Dutch,yes,Ik maak me zorgen over de verspreiding van LGBT+-propaganda
th9,THREAT,Threat,,ET,Estonian,yes,Olen mures LGBT+ propaganda leviku pärast
th9,THREAT,Threat,,FR,French,yes,Je suis préoccupé par la propagation de la propagande LGBT+
th9,THREAT,Threat,,KAT,Georgian,no,მე შეშფოთებული ვარ ლგბტ+ პროპაგანდის გავრცელებით
th9,THREAT,Threat,,DE,German,yes,Ich mache mir Sorgen wegen der Verbreitung von LGBT+-Propaganda
th9,THREAT,Threat,,HU,Hungarian,yes,Aggódom az LMBT+ propaganda terjedése miatt
th9,THREAT,Threat,,IT,Italian,yes,Sono preoccupato per la diffusione della propaganda LGBT+
th9,THREAT,Threat,,LV,Latvian,yes,Mani uztrauc LGBT+ propagandas izplatība
th9,THREAT,Threat,,LT,Lithuanian,yes,Esu susirūpinęs (-usi) dėl LGBT+ propagandos plitimo
th9,THREAT,Threat,,FA,Persian (Farsi),no,من نگران گسترش تبلیغات LGBT+ هستم.
th9,THREAT,Threat,,PL,Polish,yes,Martwi mnie rozprzestrzenianie się propagandy LGBT+
th9,THREAT,Threat,,RU,Russian,yes,Меня беспокоит распространение пропаганды ЛГБТ+.
th9,THREAT,Threat,,SR,Serbian,yes,Забринут/a сам због ширења ЛГБТ+ пропаганде
th9,THREAT,Threat,,TR,Turkish,yes,LGBT+ propagandasının yayılmasından endişe duyuyorum
th9,THREAT,Threat,,UK,Ukrainian,no,Мене турбує поширення ЛГБТ+ пропаганди
ab2,ABAND,Betrayal / Abandonment,,EN,English,yes,I feel disappointed by the actions of the international community in protecting my country
ab2,ABAND,Betrayal / Abandonment,,AR,Arabic,no,أشعر بخيبة أمل إزاء تصرفات المجتمع الدولي في حماية بلدي
ab2,ABAND,Betrayal / Abandonment,,BG,Bulgarian,yes,Чувствам се разочарован/а от действията на международната общност в защита на страната ми
ab2,ABAND,Betrayal / Abandonment,,ZH-S,Chinese (Simplified),no,我对国际社会保护我国的行动感到失望
ab2,ABAND,Betrayal / Abandonment,,NL,Dutch,yes,Ik ben teleurgesteld over de acties van de internationale gemeenschap bij het beschermen van mijn land
ab2,ABAND,Betrayal / Abandonment,,ET,Estonian,yes,Olen pettunud rahvusvahelise üldsuse tegevuses minu riigi kaitsmisel
ab2,ABAND,Betrayal / Abandonment,,FR,French,yes,Je suis déçu par les actions de la communauté internationale pour protéger mon pays
ab2,ABAND,Betrayal / Abandonment,,KAT,Georgian,no,იმედგაცრუებული ვარ საერთაშორისო საზოგადოების ქმედებებით ჩემი ქვეყნის დასაცავად
ab2,ABAND,Betrayal / Abandonment,,DE,German,yes,Ich bin enttäuscht vom Handeln der internationalen Gemeinschaft beim Schutz meines Landes
ab2,ABAND,Betrayal / Abandonment,,HU,Hungarian,yes,Csalódott vagyok a nemzetközi közösség országom védelmében tett intézkedései miatt.
ab2,ABAND,Betrayal / Abandonment,,IT,Italian,yes,Sono deluso dalle azioni della comunità internazionale nel proteggere il mio Paese
ab2,ABAND,Betrayal / Abandonment,,LV,Latvian,yes,Izjūtu vilšanos par starptautiskās sabiedrības rīcību manas valsts aizsardzībā
ab2,ABAND,Betrayal / Abandonment,,LT,Lithuanian,yes,Jaučiuosi nusivylęs (-usi) tarptautinių sąjungininkų veiksmais ginant mano šalį
ab2,ABAND,Betrayal / Abandonment,,FA,Persian (Farsi),no,من از اقدامات جامعه بین‌المللی در حفاظت از کشورم ناامید هستم.
ab2,ABAND,Betrayal / Abandonment,,PL,Polish,yes,Jestem zawiedziony/na działaniami społeczności międzynarodowej mającymi na celu ochronę mojego kraju
ab2,ABAND,Betrayal / Abandonment,,RU,Russian,yes,Я разочарован действиями международного сообщества по защите моей страны.
ab2,ABAND,Betrayal / Abandonment,,SR,Serbian,yes,Разочаран/a сам поступцима међународне заједнице у заштити моје земље
ab2,ABAND,Betrayal / Abandonment,,TR,Turkish,yes,Uluslararası toplumun ülkemin güvenliğini sağlama konusundaki tutumu beni hayal kırıklığına uğratıyor
ab2,ABAND,Betrayal / Abandonment,,UK,Ukrainian,no,Я розчарований діями міжнародної спільноти щодо захисту моєї країни
ab4,ABAND,Betrayal / Abandonment,,EN,English,yes,I’m angry at my state for failing to protect the interests of its citizens
ab4,ABAND,Betrayal / Abandonment,,AR,Arabic,no,أنا غاضب من ولايتي لفشلها في حماية مصالح مواطنيها
ab4,ABAND,Betrayal / Abandonment,,BG,Bulgarian,yes,"Ядосан съм на държавата си, че не успява да защити интересите на своите граждани"
ab4,ABAND,Betrayal / Abandonment,,ZH-S,Chinese (Simplified),no,我对我国未能保护公民的利益感到愤怒
ab4,ABAND,Betrayal / Abandonment,,NL,Dutch,yes,Ik ben boos op mijn staat omdat deze de belangen van haar burgers niet beschermt
ab4,ABAND,Betrayal / Abandonment,,ET,Estonian,yes,"Olen oma riigi peale vihane, et see ei kaitse oma kodanike huve"
ab4,ABAND,Betrayal / Abandonment,,FR,French,yes,Je suis en colère contre mon État parce qu’il ne parvient pas à protéger les intérêts de ses citoyens
ab4,ABAND,Betrayal / Abandonment,,KAT,Georgian,no,"მე გაბრაზებული ვარ ჩემს სახელმწიფოზე, რომ ვერ იცავდა მოქალაქეების ინტერესებს"
ab4,ABAND,Betrayal / Abandonment,,DE,German,yes,"Ich bin wütend auf meinen Staat, weil er die Interessen seiner Bürger nicht schützt"
ab4,ABAND,Betrayal / Abandonment,,HU,Hungarian,yes,"Dühös vagyok az államra, amiért nem védi meg polgárai érdekeit."
ab4,ABAND,Betrayal / Abandonment,,IT,Italian,yes,Sono arrabbiato con il mio Stato perché non riesce a proteggere gli interessi dei suoi cittadini
ab4,ABAND,Betrayal / Abandonment,,LV,Latvian,yes,"Izjūtu dusmas uz savu valsti par to, ka tā neaizsargā savu pilsoņu intereses"
ab4,ABAND,Betrayal / Abandonment,,LT,Lithuanian,yes,"Pykstu ant savo valstybės, nes ji nesugeba apsaugoti savo piliečių interesų"
ab4,ABAND,Betrayal / Abandonment,,FA,Persian (Farsi),no,من از دولت کشورم عصبانی هستم که از منافع شهروندانش محافظت نمی‌کند.
ab4,ABAND,Betrayal / Abandonment,,PL,Polish,yes,"Jestem zły/zła na mój krak za to, że nie chroni interesów swoich obywateli"
ab4,ABAND,Betrayal / Abandonment,,RU,Russian,yes,"Я злюсь на свое государство за то, что оно не защищает интересы своих граждан."
ab4,ABAND,Betrayal / Abandonment,,SR,Serbian,yes,Љут/a сам на своју државу јер није успела да заштити интересе својих грађана
ab4,ABAND,Betrayal / Abandonment,,TR,Turkish,yes,Devletimin vatandaşlarının çıkarlarını koruyamaması beni öfkelendiriyor
ab4,ABAND,Betrayal / Abandonment,,UK,Ukrainian,no,"Я злюся на свою державу за те, що вона не захищає інтереси своїх громадян"
ab7,ABAND,Betrayal / Abandonment,,EN,English,yes,I feel anger because the information I want to access is being censored in my country
ab7,ABAND,Betrayal / Abandonment,,AR,Arabic,no,أشعر بالغضب لأن المعلومات التي أريد الوصول إليها تخضع للرقابة في بلدي
ab7,ABAND,Betrayal / Abandonment,,BG,Bulgarian,yes,"Чувствам гняв, защото информацията, до която искам да получа достъп, е цензурирана в моята страна"
ab7,ABAND,Betrayal / Abandonment,,ZH-S,Chinese (Simplified),no,我想要获取的信息在我国受到审查，我对此感到愤怒
ab7,ABAND,Betrayal / Abandonment,,NL,Dutch,yes,Ik voel woede omdat de informatie die ik wil raadplegen in mijn land wordt gecensureerd
ab7,ABAND,Betrayal / Abandonment,,ET,Estonian,yes,"Tunnen viha, sest infot, millele ma tahan ligi pääseda, tsenseeritakse minu riigis"
ab7,ABAND,Betrayal / Abandonment,,FR,French,yes,Je ressens de la colère parce que les informations auxquelles je veux accéder sont censurées dans mon pays
ab7,ABAND,Betrayal / Abandonment,,KAT,Georgian,no,"გაბრაზებული ვარ, რადგან ინფორმაცია, რომელზეც წვდომა მსურს, ჩემს ქვეყანაში ცენზურის ქვეშაა."
ab7,ABAND,Betrayal / Abandonment,,DE,German,yes,"Ich bin wütend, weil die Informationen, auf die ich zugreifen möchte, in meinem Land zensiert werden"
ab7,ABAND,Betrayal / Abandonment,,HU,Hungarian,yes,"Dühöt érzek, mert az országomban cenzúrázzák az információkat, amelyekhez hozzáférni szeretnék."
ab7,ABAND,Betrayal / Abandonment,,IT,Italian,yes,Provo rabbia perché le informazioni a cui voglio accedere vengono censurate nel mio paese
ab7,ABAND,Betrayal / Abandonment,,LV,Latvian,yes,"Izjūtu dusmas, jo informācija, kurai vēlos piekļūt, manā valstī tiek cenzēta"
ab7,ABAND,Betrayal / Abandonment,,LT,Lithuanian,yes,"Pykstu, nes informacija, kurią noriu pasiekti, mano šalyje yra cenzūruojama"
ab7,ABAND,Betrayal / Abandonment,,FA,Persian (Farsi),no,من عصبانی هستم چون اطلاعاتی که می‌خواهم به آنها دسترسی داشته باشم در کشورم سانسور می‌شود.
ab7,ABAND,Betrayal / Abandonment,,PL,Polish,yes,"Czuję złość, ponieważ informacje, do których chcę uzyskać dostęp, są w moim kraju cenzurowane"
ab7,ABAND,Betrayal / Abandonment,,RU,Russian,yes,"Я чувствую гнев, потому что информация, к которой я хочу получить доступ, подвергается цензуре в моей стране."
ab7,ABAND,Betrayal / Abandonment,,SR,Serbian,yes,Бесан/сна сам јер су информације којима желим да приступим цензурисане у мојој земљи
ab7,ABAND,Betrayal / Abandonment,,TR,Turkish,yes,Erişmek istediğim bilgilerin ülkemde sansürlenmesi beni öfkelendiriyor
ab7,ABAND,Betrayal / Abandonment,,UK,Ukrainian,no,"Я відчуваю гнів, бо інформація, до якої я хочу отримати доступ, цензурується в моїй країні"
pa1,FEAR,Fear / Pragmatism,,EN,English,yes,I feel tense when thinking about potential conflicts with countries like Russia or China
pa1,FEAR,Fear / Pragmatism,,AR,Arabic,no,أشعر بالتوتر عندما أفكر في الصراعات المحتملة مع دول مثل روسيا أو الصين
pa1,FEAR,Fear / Pragmatism,,BG,Bulgarian,yes,"Чувствам се напрегнат/а, когато мисля за потенциални конфликти със страни като Русия или Китай"
pa1,FEAR,Fear / Pragmatism,,ZH-S,Chinese (Simplified),no,想到与俄罗斯或中国等国家的潜在冲突，我就感到紧张
pa1,FEAR,Fear / Pragmatism,,NL,Dutch,yes,Ik voel me gespannen als ik denk aan mogelijke conflicten met landen als Rusland of China
pa1,FEAR,Fear / Pragmatism,,ET,Estonian,yes,"Tunnen pinget, kui mõtlen võimalikele konfliktidele selliste riikidega nagu Venemaa või Hiina"
pa1,FEAR,Fear / Pragmatism,,FR,French,yes,Je me sens tendu lorsque je pense à des conflits potentiels avec des pays comme la Russie ou la Chine
pa1,FEAR,Fear / Pragmatism,,KAT,Georgian,no,"დაძაბულობას ვგრძნობ, როდესაც ვფიქრობ პოტენციურ კონფლიქტებზე ისეთ ქვეყნებთან, როგორიცაა რუსეთი ან ჩინეთი."
pa1,FEAR,Fear / Pragmatism,,DE,German,yes,"Ich fühle mich angespannt, wenn ich an mögliche Konflikte mit Ländern wie Russland oder China denke"
pa1,FEAR,Fear / Pragmatism,,HU,Hungarian,yes,"Feszültnek érzem magam, amikor olyan országokkal, mint Oroszország vagy Kína, lehetséges konfliktusokra gondolok."
pa1,FEAR,Fear / Pragmatism,,IT,Italian,yes,Sono preoccupato quando penso a potenziali conflitti con paesi come la Russia o la Cina
pa1,FEAR,Fear / Pragmatism,,LV,Latvian,yes,"Saspringstu, domājot par iespējamiem konfliktiem ar tādām valstīm kā Krievija vai Ķīna"
pa1,FEAR,Fear / Pragmatism,,LT,Lithuanian,yes,Nervinuosi galvodamas (-a) apie galimus konfliktus su tokiomis šalimis kaip Rusija ar Kinija
pa1,FEAR,Fear / Pragmatism,,FA,Persian (Farsi),no,وقتی به درگیری‌های احتمالی با کشورهایی مثل روسیه یا چین فکر می‌کنم، احساس تنش می‌کنم.
pa1,FEAR,Fear / Pragmatism,,PL,Polish,yes,"Czuję napięcie, gdy myślę o potencjalnych konfliktach z krajami takimi jak Rosja czy Chiny"
pa1,FEAR,Fear / Pragmatism,,RU,Russian,yes,"Я чувствую напряжение, когда думаю о потенциальных конфликтах с такими странами, как Россия или Китай."
pa1,FEAR,Fear / Pragmatism,,SR,Serbian,yes,Осећам се напето када размишљам о потенцијалним сукобима са земљама попут Русије или Кине
pa1,FEAR,Fear / Pragmatism,,TR,Turkish,yes,Rusya veya Çin gibi ülkelerle olası çatışmaları düşündüğümde gergin hissediyorum
pa1,FEAR,Fear / Pragmatism,,UK,Ukrainian,no,"Я відчуваю напругу, коли думаю про потенційні конфлікти з такими країнами, як Росія чи Китай"
pa2,FEAR,Fear / Pragmatism,,EN,English,yes,I would feel safer if peace with countries like Russia or China is struck at any cost
pa2,FEAR,Fear / Pragmatism,,AR,Arabic,no,سأشعر بأمان أكبر إذا تم التوصل إلى السلام مع دول مثل روسيا أو الصين بأي ثمن
pa2,FEAR,Fear / Pragmatism,,BG,Bulgarian,yes,"Бих се чувствал/а по-сигурен/а, ако мирът със страни като Русия или Китай бъде сключен на всяка цена"
pa2,FEAR,Fear / Pragmatism,,ZH-S,Chinese (Simplified),no,如果不惜一切代价与俄罗斯或中国等国家达成和平协议，我会感到更安全
pa2,FEAR,Fear / Pragmatism,,NL,Dutch,yes,Ik zou me veiliger voelen als er tegen elke prijs vrede wordt gesloten met landen als Rusland of China
pa2,FEAR,Fear / Pragmatism,,ET,Estonian,yes,"Tunneksin end turvalisemalt, kui selliste riikidega nagu Venemaa või Hiina saavutatakse rahu iga hinna eest"
pa2,FEAR,Fear / Pragmatism,,FR,French,yes,Je me sentirais plus en sécurité si la paix avec des pays comme la Russie ou la Chine était conclue à tout prix
pa2,FEAR,Fear / Pragmatism,,KAT,Georgian,no,"თავს უფრო უსაფრთხოდ ვიგრძნობდი, თუ რუსეთი ან ჩინეთის მსგავს ქვეყნებთან მშვიდობა ნებისმიერ ფასად იქნებოდა დამყარებული."
pa2,FEAR,Fear / Pragmatism,,DE,German,yes,"Ich würde mich sicherer fühlen, wenn um jeden Preis Frieden mit Ländern wie Russland oder China geschlossen würde"
pa2,FEAR,Fear / Pragmatism,,HU,Hungarian,yes,"Biztonságosabbnak érezném magam, ha bármi áron békét kötnének olyan országokkal, mint Oroszország vagy Kína."
pa2,FEAR,Fear / Pragmatism,,IT,Italian,yes,Mi sentirei più sicuro se la pace con paesi come la Russia o la Cina venisse raggiunta a qualunque costo
pa2,FEAR,Fear / Pragmatism,,LV,Latvian,yes,"Es justos drošāk, ja par katru cenu tiktu panākts miers ar tādām valstīm kā Krievija vai Ķīna"
