# Short DisInforMeter language matrix (Annex B) — FILLED from S4 Qualtrics deployment.
# Generated by disinformeter-demonstrator/scripts/extract/extract_translations.py
# english column = harmonised analysis wording; language columns = deployed S4 translations.
item_code,construct,origin,english,BG,DE,EN,ET,FR,HU,IT,LT,LV,NL,PL,RU,SR,TR
pa1,FEAR,,I feel tense when thinking about potential conflicts with countries like Russia or China.,"Чувствам се напрегнат/а, когато мисля за потенциални конфликти със страни като Русия или Китай","Ich fühle mich angespannt, wenn ich an mögliche Konflikte mit Ländern wie Russland oder China denke",I feel tense when thinking about potential conflicts with countries like Russia or China,"Tunnen pinget, kui mõtlen võimalikele konfliktidele selliste riikidega nagu Venemaa või Hiina",Je me sens tendu lorsque je pense à des conflits potentiels avec des pays comme la Russie ou la Chine,"Feszültnek érzem magam, amikor olyan országokkal, mint Oroszország vagy Kína, lehetséges konfliktusokra gondolok.",Sono preoccupato quando penso a potenziali conflitti con paesi come la Russia o la Cina,Nervinuosi galvodamas (-a) apie galimus konfliktus su tokiomis šalimis kaip Rusija ar Kinija,"Saspringstu, domājot par iespējamiem konfliktiem ar tādām valstīm kā Krievija vai Ķīna",Ik voel me gespannen als ik denk aan mogelijke conflicten met landen als Rusland of China,"Czuję napięcie, gdy myślę o potencjalnych konfliktach z krajami takimi jak Rosja czy Chiny","Я чувствую напряжение, когда думаю о потенциальных конфликтах с такими странами, как Россия или Китай.",Осећам се напето када размишљам о потенцијалним сукобима са земљама попут Русије или Кине,Rusya veya Çin gibi ülkelerle olası çatışmaları düşündüğümde gergin hissediyorum
pa2,FEAR,,I would feel safer if peace with countries like Russia or China is struck at any cost,"Бих се чувствал/а по-сигурен/а, ако мирът със страни като Русия или Китай бъде сключен на всяка цена","Ich würde mich sicherer fühlen, wenn um jeden Preis Frieden mit Ländern wie Russland oder China geschlossen würde",I would feel safer if peace with countries like Russia or China is struck at any cost,"Tunneksin end turvalisemalt, kui selliste riikidega nagu Venemaa või Hiina saavutatakse rahu iga hinna eest",Je me sentirais plus en sécurité si la paix avec des pays comme la Russie ou la Chine était conclue à tout prix,"Biztonságosabbnak érezném magam, ha bármi áron békét kötnének olyan országokkal, mint Oroszország vagy Kína.",Mi sentirei più sicuro se la pace con paesi come la Russia o la Cina venisse raggiunta a qualunque costo,"Jausčiausi saugiau, jei bet kokia kaina būtų pasiekta taika su tokiomis šalimis kaip Rusija ar Kinija","Es justos drošāk, ja par katru cenu tiktu panākts miers ar tādām valstīm kā Krievija vai Ķīna",Ik zou me veiliger voelen als er tegen elke prijs vrede wordt gesloten met landen als Rusland of China,"Czułbym się bezpieczniej, gdyby za wszelką cenę udało się zawrzeć pokój z krajami takimi jak Rosja czy Chiny","Я бы чувствовал себя в большей безопасности, если бы мир с такими странами, как Россия или Китай, был достигнут любой ценой.",Осећао бих се сигурније када би се по сваку цену постигао мир са земљама попут Русије или Кине,Rusya veya Çin gibi ülkelerle her ne pahasına olursa olsun barış sağlanırsa kendimi daha güvende hissederim
pa4,FEAR,,I’m anxious about the consequences of a conflict with countries like Russia or China,Притеснявам се за последствията от конфликт със страни като Русия или Китай,Ich mache mir Sorgen über die Folgen eines Konflikts mit Ländern wie Russland oder China,I’m anxious about the consequences of a conflict with countries like Russia or China,Olen mures konflikti tagajärgede pärast selliste riikidega nagu Venemaa või Hiina,Je suis inquiet des conséquences d’un conflit avec des pays comme la Russie ou la Chine,"Aggódom egy olyan országgal való konfliktus következményei miatt, mint Oroszország vagy Kína.",Sono preoccupato per le conseguenze di un conflitto con paesi come la Russia o la Cina,Man neramu dėl konflikto su tokiomis šalimis kaip Rusija ar Kinija pasekmių,"Jūtu raizes par sekām, ko varētu radīt konflikts ar tādām valstīm kā Krievija vai Ķīna",Ik maak me zorgen over de gevolgen van een conflict met landen als Rusland of China,Martwię się konsekwencjami konfliktu z krajami takimi jak Rosja czy Chiny,"Меня беспокоят последствия конфликта с такими странами, как Россия или Китай.",Забринут сам због последица сукоба са земљама попут Русије или Кине,Rusya veya Çin gibi ülkelerle yaşanacak bir çatışmanın sonuçları konusunda endişeliyim
fru1,SUPF,,"To a certain extent, I admire Russia.",До известна степен се възхищавам на Русия,Bis zu einem gewissen Grad bewundere ich Russland,"To a certain extent, I admire Russia",Imetlen Venemaad teatud määral,"Dans une certaine mesure, j'admire la Russie",Bizonyos mértékig csodálom Oroszországot,In una certa misura ammiro la Russia,Tam tikra prasme aš žaviuosi Rusija,Zināmā mērā es apbrīnoju Krieviju,Tot op zekere hoogte bewonder ik Rusland,Do pewnego stopnia podziwiam Rosję,В определенной степени я восхищаюсь Россией.,"До извесне мере, дивим се Русији",Bir bakıma Rusya'ya hayranım
fru2,SUPF,,"Sometimes, I feel inspired by the actions of Russia.",Понякога се чувствам вдъхновен/а от Русия,Manchmal fühle ich mich von Russland inspiriert,Sometimes I feel inspired by Russia,Tunnen end vahel Venemaast inspireerituna,"Parfois, je me sens inspiré par la Russie",Néha Oroszország inspirál,A volte mi sento ispirato dalla Russia,Kartais Rusijos veiksmai mane įkvepia,Dažreiz mani iedvesmo Krievija,Soms voel ik mij geïnspireerd door Rusland,Czasami czuję inspirację Rosją,Иногда меня вдохновляет Россия.,Понекад ме инспирише Русија,Bazen Rusya'dan ilham alıyorum
fru3,SUPF,,Russia gives me hope.,Русия ми дава надежда,Russland gibt mir Hoffnung,Russia gives me hope,Venemaa annab mulle lootust,La Russie me donne de l'espoir,Oroszország reményt ad nekem,La Russia mi dà speranza,Rusija man suteikia vilties,Krievija man dod cerību,Rusland geeft mij hoop,Rosja daje mi nadzieję,Россия дает мне надежду.,Русија ми даје наду,Rusya bana umut veriyor
fch1,SUPFCH,,"To a certain extent, I admire China.",До известна степен се възхищавам на Китай,Bis zu einem gewissen Grad bewundere ich China,"To a certain extent, I admire China",Imetlen Hiinat teatud määral,"Dans une certaine mesure, j'admire la Chine",Bizonyos mértékig csodálom Kínát,In una certa misura ammiro la Cina,Tam tikra prasme aš žaviuosi Kinija,Zināmā mērā es apbrīnoju Ķīnu,Tot op zekere hoogte bewonder ik China,Do pewnego stopnia podziwiam Chiny,В определенной степени я восхищаюсь Китаем.,"До извесне мере, дивим се Кини",Bir bakıma Çin'e hayranım
fch2,SUPFCH,,"Sometimes, I feel inspired by the actions of China.",Понякога се чувствам вдъхновен/а от Китай,Manchmal fühle ich mich von China inspiriert,Sometimes I feel inspired by China,Tunnen end vahel Hiinast inspireerituna,"Parfois, je me sens inspiré par la Chine",Néha Kína inspirál,A volte mi sento ispirato dalla Cina,Kartais Kinijos veiksmai mane įkvepia,Dažreiz mani iedvesmo Ķīna,Soms voel ik mij geïnspireerd door China,Czasami czuję inspirację Chinami,Иногда меня вдохновляет Китай.,Понекад ме Кина инспирише,Bazen Çin'den ilham alıyorum
fch3,SUPFCH,,China gives me hope.,Китай ми дава надежда,China gibt mir Hoffnung,China gives me hope,Hiina annab mulle lootust,La Chine me donne de l'espoir,Kína reményt ad nekem,La Cina mi dà speranza,Kinija man suteikia vilties,Ķīna man dod cerību,China geeft mij hoop,Chiny dają mi nadzieję,Китай дает мне надежду.,Кина ми даје наду,Çin bana umut veriyor
news1,FIMI,Russian-origin,Zelensky bought a British mansion from King Charles for 20 million pounds,Зеленски купи британско имение от крал Чарлз за 20 милиона паунда,Selenskyj kauft von König Charles ein britisches Herrenhaus für 20 Millionen Pfund,Zelenskyy bought a British mansion from King Charles for 20 million pounds,Zelenski ostis kuningas Charlesilt 20 miljoni naela eest Briti mõisa,Zelensky a acheté un manoir britannique au roi Charles pour 20 millions de livres,Zelenszkij 20 millió fontért vásárolt egy brit kúriát Károly királytól,Zelenskyy ha acquistato una villa britannica da Re Carlo per 20 milioni di sterline,Zelenskis nusipirko dvarą iš Didžiosios Britanijos karaliaus Karolio III už 20 milijonų svarų,Zelenskis no karaļa Čārlza par 20 miljoniem mārciņu iegādājies britu savrupmāju,Zelenskyy kocht een Brits landhuis van koning Charles voor 20 miljoen pond,Zełenski kupił od króla Karola brytyjską rezydencję za 20 milionów funtów,Зеленский купил у короля Карла британский особняк за 20 миллионов фунтов стерлингов,Зеленски је купио британску вилу од краља Чарлса за 20 милиона фунти,"Zelenskyy, Kral Charles'tan 20 milyon pound değerinde bir İngiliz malikanesi satın aldı"
news2,FIMI,Russian-origin,France asked Russia not to touch the French military in Ukraine,Франция поиска от Русия да не докосва френските военни в Украйна,"Frankreich bittet Russland, das französische Militär in der Ukraine nicht anzugreifen",France asked Russia not to touch the French military in Ukraine,Prantsusmaa palus Venemaal mitte puutuda Ukrainas asuvaid Prantsuse sõjaväelasi,La France a demandé à la Russie de ne pas toucher à l'armée française en Ukraine,"Franciaország arra kérte Oroszországot, hogy ne nyúljon a francia hadsereghez Ukrajnában",La Francia ha chiesto alla Russia di non toccare l'esercito francese in Ucraina,Prancūzija paprašė Rusijos neliesti prancūzų kariuomenės Ukrainoje,Francija lūdza Krieviju neaiztikt Francijas militārpersonas Ukrainā,Frankrijk heeft Rusland gevraagd het Franse leger in Oekraïne niet aan te vallen,Francja zwróciła się do Rosji z prośbą o nieatakowanie wojsk francuskich na terytorium Ukrainy,Франция попросила Россию не трогать французских военных в Украине,Француска је затражила од Русије да не дира француску војску у Украјини,"Fransa, Rusya'dan Ukrayna’daki Fransız ordusuna dokunmamasını istedi"
news3,FIMI,Russian-origin,The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT++,Олимпийските и Параолимпийските игри в Милано-Кортина д'Ампецо през 2026 г. ще бъдат отворени за ЛГБТ+,Die Olympischen und Paralympischen Spiele 2026 in Mailand–Cortina d'Ampezzo werden offen LGBT+ sein,The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT+,2026. aasta Milano-Cortina d'Ampezzo olümpia- ja paraolümpiamängud on avalikult LGBT+ teemalised,Les Jeux olympiques et paralympiques de Milan-Cortina d'Ampezzo 2026 seront ouvertement LGBT+,A 2026-os Milánó–Cortina d'Ampezzo olimpia és paralimpia nyíltan LMBT+ lesz,Le Olimpiadi e le Paralimpiadi di Milano-Cortina d'Ampezzo 2026 saranno dichiaratamente LGBT+,2026 m. Milano–Kortinos d'Ampeco olimpinės ir parolimpinės žaidynės bus atvirai pro-LGBT+,2026. gada Milānas–Kortīnas d'Ampeco olimpiskās un paralimpiskās spēles atklāti atbalstīs LGBT+,De Olympische en Paralympische Spelen van 2026 in Milaan-Cortina d'Ampezzo zullen openlijk LGBT+ zijn,Igrzyska olimpijskie i paraolimpijskie Mediolan–Cortina d'Ampezzo 2026 będą oficjalnie przyjazne dla osób LGBT+,Олимпийские и Паралимпийские игры 2026 года в Милане и Кортина-д’Ампеццо будут открыто ЛГБТ+,Олимпијске и Параолимпијске игре Милано–Кортина Дампецо 2026. године биће јавно ЛГБТ+,2026 Milano–Cortina d'Ampezzo Olimpiyatları ve Paralimpik Oyunları açık şekilde LGBT+ destekçisi olacak
news4,FIMI,Russian-origin,Ukrainian army is looking for a mentor on tolerance working for front lines,"Украинската армия търси ментор по толерантност, работещ с войски на фронтовата линия",Die ukrainische Armee sucht einen Toleranz-Mentor für die Arbeit mit Frontsoldaten,The Ukrainian army is looking for a mentor on tolerance working with front line troops,Ukraina armee otsib sallivuse mentorit rindel olevate vägedega töötamiseks,L'armée ukrainienne recherche un mentor en tolérance travaillant avec les troupes de première ligne,Az ukrán hadsereg a frontvonalbeli csapatokkal való együttműködésre keres tolerancia mentort,L'esercito ucraino è alla ricerca di un esperto sulla tolleranza che lavori con le truppe in prima linea,Ukrainos kariuomenė ieško tolerancijos mentoriaus darbui fronto linijose,Ukrainas armija meklē mentoru tolerances jautājumos darbam ar frontes līnijas karavīriem,Het Oekraïense leger is op zoek naar een mentor voor tolerantie in samenwerking met troepen aan het front,"Ukraińska armia poszukuje mentora ds. tolerancji, który będzie pracował z żołnierzami pierwszej linii",Украинская армия ищет наставника по толерантности для работы с военнослужащими на передовой,Украјинска војска тражи ментора за рад на толеранцији са јединицама на првој линији фронта,"Ukrayna ordusu, ön saflardaki birliklerle hoşgörü konusunda çalışacak bir akıl hocası arıyor"
news5,FIMI,Russian-origin,Gays and transvestites in Kiev are invited to join LGBT brigades,Гейове и травестити в Киев са поканени да се присъединят към ЛГБТ+ военни бригади,Schwule und Transvestiten in Kiew werden zum Beitritt von LGBT-Militärbrigaden aufgefordert,Gays and transvestites in Kyiv are invited to join LGBT+ military brigades,Kiievis kutsutakse geisid ja transvestiite LGBT+ sõjaväebrigaadidesse,Les gays et les travestis de Kyiv sont invités à rejoindre les brigades militaires LGBT+,Kijevben melegeket és transzvesztitákat hívnak az LMBT+ katonai brigádokba,Gay e travestiti a Kiev sono invitati a unirsi alle brigate militari LGBT+,Gėjai ir transvestitai Kijeve kviečiami prisijungti prie LGBT+ karinių brigadų,Kijivā geji un transvestīti tiek aicināti pievienoties LGBT+ militārajām brigādēm,Homoseksuelen en travestieten in Kiev worden uitgenodigd om zich aan te sluiten bij LGBT+-militaire brigades,Geje i transwestyci w Kijowie są zaproszeni do dołączenia do wojskowych brygad LGBT+,Геев и трансвеститов в Киеве приглашают вступить в ЛГБТ+ военные бригады,Гејеви и трансвестити у Кијеву су позвани да се придруже ЛГБТ+ војним бригадама,"Kiev'deki eşcinseller ve travestiler, LGBT+ askeri birliklerine katılmaya davet ediliyor"
news6,FIMI,Chinese-origin,"Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a complete rumor maker","Ли-Менг Ян, китайски вирусолог, който твърди, че вирусът COVID-19 произхожда от китайска правителствена лаборатория, е известен като разпространител на слухове.","Li-Meng Yan, eine chinesische Virologin, die behauptet, das COVID-19-Virus stamme aus einem chinesischen Regierungslabor, ist als Gerüchteverbreiterin bekannt","Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a known rumor maker","Hiina viroloog Li-Meng Yan, kes väidab, et COVID-19 viirus pärines Hiina valitsuse laborist, on tuntud kuulujuttude levitaja","Li-Meng Yan, une virologue chinoise qui prétend que le virus COVID-19 provient d'un laboratoire du gouvernement chinois, est une rumeur connue","Li-Meng Yan, egy kínai virológus, aki azt állítja, hogy a COVID-19 vírus egy kínai kormányzati laboratóriumból származik, közismerten pletykaterjesztő","Li-Meng Yan, virologa cinese che sostiene che il virus COVID-19 abbia avuto origine in un laboratorio del governo cinese, è nota per diffondere voci infondate","Kinijos virusologė Li-Meng Yan, teigianti, kad COVID-19 virusas sukurtas Kinijos vyriausybės laboratorijoje, yra absoliuti gandų kūrėja","Ķīniešu virusologs Li-Mens Jaņs, kurš apgalvo, ka COVID-19 vīruss cēlies no Ķīnas valdības laboratorijas, ir zināms baumu izplatītājs","Li-Meng Yan, een Chinese viroloog die beweert dat het COVID-19-virus afkomstig is uit een Chinees overheidslaboratorium, is een bekende geruchtenmaker","Li-Meng Yan, chiński wirusolog który twierdzi, że wirus COVID-19 pochodzi z chińskiego laboratorium rządowego, jest znanym twórcą plotek","Ли-Мэн Янь, китайский вирусолог, утверждающий, что вирус COVID-19 возник в китайской правительственной лаборатории, является известным распространителем слухов","Ли-Менг Јан, кинески вирусолог који тврди да вирус COVID-19 потиче из кинеске владине лабораторије, познат је по ширењу гласина","COVID-19 virüsünün Çin hükümetine ait bir laboratuvardan kaynaklandığını iddia eden Çinli virolog Li-Meng Yan, söylenti yaymakla tanınan bir isimdir"
news7,FIMI,Chinese-origin,CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship,CGTN: По-тесните междуличностни отношения насърчават приятелството между Китай и Виетнам,CGTN: Engere zwischenmenschliche Kontakte fördern die Freundschaft zwischen China und Vietnam,CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship,CGTN: Tihedamad inimestevahelised sidemed edendavad Hiina ja Vietnami sõprust,CGTN : Des liens plus étroits entre les peuples renforcent l'amitié sino-vietnamienne,"CGTN: A szorosabb, emberek közötti kötelékek elősegítik a kínai-vietnami barátságot",CGTN: Legami più stretti tra i popoli favoriscono l'amicizia tra Cina e Vietnam,CGTN: artimesni žmonių tarpusavio ryšiai skatina Kinijos ir Vietnamo draugystę,CGTN: Ciešākas cilvēku savstarpējās saites veicina Ķīnas un Vjetnamas draudzību,CGTN: Nauwere persoonlijke banden tussen mensen bevorderen vriendschap tussen China en Vietnam,CGTN: Bliższe więzi międzyludzkie sprzyjają przyjaźni chińsko-wietnamskiej,CGTN: Укрепление связей между народами способствует развитию дружбы между Китаем и Вьетнамом,CGTN: Ближе међуљудске везе подстичу пријатељство између Кине и Вијетнама,CGTN: İnsanlar arasındaki yakınlaşma Çin-Vietnam dostluğunu geliştiriyor
news8,FIMI,Chinese-origin,The plague-like rule of extreme right-wing religious leader Li Hongzhi who is banned in China,Подобното на чума управление на крайно десния религиозен лидер Ли Хонгджъ е забранено в Китай,Die pestartige Herrschaft des rechtsextremen Sektenführers Li Hongzhi ist in China verboten,The plague-like rule of extreme right-wing religious leader Li Hongzhi is banned in China,Paremäärmusliku usujuhi Li Hongzhi katkulaadne valitsemine keelati Hiinas ära,Le régime pestiféré du leader religieux d'extrême droite Li Hongzhi est interdit en Chine,Kínában betiltották Li Hongzhi szélsőjobboldali vallási vezető pestisszerű uralmát,La piaga del regime imposto dal leader religioso di estrema destra Li Hongzhi è vietato in Cina,Kinijoje uždrausto kraštutinių dešiniųjų religinio lyderio Li Hongzhi valdžia - kaip maro apimta,"Ķīnā ir aizliegta galēji labējā reliģiskā līdera Li Hundži valdīšana, kas līdzinās mērim",Het pestachtige bewind van extreemrechtse religieuze leider Li Hongzhi is in China verboden,W Chinach zakazano przypominających zarazę rządów skrajnie prawicowego przywódcy religijnego Li Hongzhi,Чумоподобное правление ультраправого религиозного лидера Ли Хунчжи запрещено в Китае,"Владавина екстремно десничарског верског вође Ли Хонгџија, слична куги, забрањена је у Кини","Aşırı sağ görüşleriyle tanınan dinî lider Li Hongzhi’nin etkisi altındaki yapılanma, Çin'de yasaklanmıştır."
