section,scale,domain_label,item_text,S1,S2,S3,S4,S5,versions,short_module_code,fimi_origin,short_fimi
First-order construct items,Superiority — Russia (beliefs),,Russia is technologically advanced.,sup_ru3,sru3,sru3,,sru3,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia has innovative military technologies.,sup_ru4,sru4,sru4,,sru4,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia represents a unique Slavic civilization.,sup_ru6,sru5,sru5,,sru5,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russian culture is a superior culture.,sup_ru7,sru6,sru6,,sru6,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia is the last bastion of anti-systemic and anti-global forces in Europe.,sup_ru8,sru7,sru7,,sru7,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia is able to defend its core values.,sup_ru9,sru8,sru8,,sru8,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia is able to take good care of its citizens.,sup_ru10,sru9,sru9,,sru9,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia has a unique spiritual potential.,sup_ru11,sru10,sru10,,sru10,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia draws its strength from its places of spiritual importance.,sup_ru13,sru11,sru11,,sru11,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia will protect us if needed.,,sru12,sru12,,sru12,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russian hackers are able to hack any institution in the world.,sup_ru5,,,,,,,,
First-order construct items,Superiority — Russia (beliefs),,Siberian cedar is a tree of exceptional spiritual importance.,sup_ru12,,,,,,,,
First-order construct items,Superiority — Russia (beliefs),,Putin's strong and masculine personality resonates well with me.,sup_ru14,,,,,,,,
First-order construct items,Superiority — Russia (beliefs),,Putin is a strong leader standing up against the West.,sup_ru15,,,,,,,,
First-order construct items,Superiority — China (beliefs),,China has an important historic mission.,sup_kin1,ski1,ski1,,ski1,long,,,
First-order construct items,Superiority — China (beliefs),,China will reemerge as the most powerful nation in the world.,sup_kin2,ski2,ski2,,ski2,long,,,
First-order construct items,Superiority — China (beliefs),,China will soon have full control over the world economy.,sup_kin3,ski3,ski3,,ski3,long,,,
First-order construct items,Superiority — China (beliefs),,China is technologically advanced.,sup_kin4,ski4,ski4,,ski4,long,,,
First-order construct items,Superiority — China (beliefs),,China has innovative military technologies.,sup_kin5,ski5,ski5,,ski5,long,,,
First-order construct items,Superiority — China (beliefs),,China represents a unique civilization.,sup_kin7,ski6,ski6,,ski6,long,,,
First-order construct items,Superiority — China (beliefs),,Chinese culture is a superior culture.,sup_kin8,ski7,ski7,,ski7,long,,,
First-order construct items,Superiority — China (beliefs),,China is successfully reshaping the global system for its own purposes.,sup_kin9,ski8,ski8,,ski8,long,,,
First-order construct items,Superiority — China (beliefs),,China is able to defend its core values.,sup_kin10,ski9,ski9,,ski9,long,,,
First-order construct items,Superiority — China (beliefs),,China is able to take good care of its citizens..,sup_kin11,ski10,ski10,,ski10,long,,,
First-order construct items,Superiority — China (beliefs),,China will protect us if needed.,,ski11,ski11,,ski11,long,,,
First-order construct items,Superiority — China (beliefs),,Chinese agents are able to infiltrate into any institution in the world.,sup_kin6,,,,,,,,
First-order construct items,Poisonous ethnocentrism,,Our national interests are more important than other countries' interests.,,cet1,cet1,,cet1,long,,,
First-order construct items,Poisonous ethnocentrism,,We should protect our nation's interests by any means necessary.,,cet2,cet2,,cet2,long,,,
First-order construct items,Poisonous ethnocentrism,,"Preserving our culture, language, and identity as the predominant one in our country is of utmost importance for us.",,cet3,cet3,,cet3,long,,,
First-order construct items,Poisonous ethnocentrism,,Everything that is non-Lithuanian may threaten the survival of our nation-state.,,cet4,cet4,,cet4,long,,,
First-order construct items,Poisonous ethnocentrism,,Our enemies are constantly threatening our national interests.,,cet5,cet5,,cet5,long,,,
First-order construct items,Poisonous ethnocentrism,,"We should protect our culture, language and identity from foreign influences.",,cet6,cet6,,cet6,long,,,
First-order construct items,Poisonous ethnocentrism,,"By joining unions like the EU or NATO, we are losing our independence.",poi6,cet7,cet7,,cet7,long,,,
First-order construct items,Poisonous ethnocentrism,,We have sold our national identity to unions like the EU or NATO.,poi7,cet8,cet8,,cet8,long,,,
First-order construct items,Poisonous ethnocentrism,,We should not easily adopt values and lifestyles that are imposed on us from outside,poi1,,,,,,,,
First-order construct items,Poisonous ethnocentrism,,Outsiders from abroad are constantly threatening our national identity.,poi2,,,,,,,,
First-order construct items,Poisonous ethnocentrism,,We should keep the land where our ancestors lived for ourselves.,poi4,,,,,,,,
First-order construct items,Poisonous ethnocentrism,,We should protect our traditions from outsiders.,poi5,,,,,,,,
Higher-order composite indicators,Threat (affective),Threat,I’m worried that our ways of life are sought to be destroyed.,,th1,th1,th1,th1,long,,,
Higher-order composite indicators,Threat (affective),Threat,"I am sad because our culture, language, and identity are disappearing.",,th2,th2,,th2,long,,,
Higher-order composite indicators,Threat (affective),Threat,I feel a threat to the survival of our nation-state.,,th3,th3,,th3,long,,,
Higher-order composite indicators,Threat (affective),Threat,I hate Western liberalism.,,th4,th4,,th4,long,,,
Higher-order composite indicators,Threat (affective),Threat,I’m worried that my country is being exploited by foreign countries.,,th5,th5,th5,th5,long,,,
Higher-order composite indicators,Threat (affective),Threat,I am angry when I think about how my country is being used by foreign countries.,,th6,th6,th6,th6,long;short,th6,,
Higher-order composite indicators,Threat (affective),Threat,I am angry because immigration is changing our way of life for the worse.,,th7,th7,th7,th7,long,,,
Higher-order composite indicators,Threat (affective),Threat,I feel worried because of uncontrolled immigration.,,th8,th8,th8,th8,long,,,
Higher-order composite indicators,Threat (affective),Threat,I am worried about the spread of LGBT+ propaganda.,,th9,th9,th9,th9,long;short,th9,,
Higher-order composite indicators,Threat (affective),Threat,I’m outraged when thinking about the promotion LGBT+ ideas.,,th10,th10,th10,th10,long,,,
Higher-order composite indicators,Threat (affective),Threat,I’m disgusted by the LGBT+ propaganda.,,th11,th11,,th11,long,,,
Higher-order composite indicators,Threat (affective),Threat,I feel nostalgic for the days when moral values truly mattered to us.,,th12,th12,,th12,long,,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,"In general, I distrust our international allies.",,ab1,ab1,ab1,ab1,long,,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,I feel disappointed by the actions of the international allies in protecting my country.,,ab2,ab2,ab2,ab2,long;short,ab2,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,I feel frustrated by how my state addresses citizens' needs.,,ab3,ab3,ab3,ab3,long,,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,I’m angry at my state for failing to protect the interests of its citizens.,,ab4,ab4,ab4,ab4,long;short,ab4,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,I feel sad when I think about how my country takes care of its citizens.,,ab5,ab5,,ab5,long,,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,I hate my state because it fails to take care of its citizens.,,ab6,ab6,,ab6,long,,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,I feel angry because the knowledge I want to access is being censored in my state.,cens4,ab7,ab7,ab7,ab7,long;short,ab7,,
Higher-order composite indicators,Distrust / betrayal / abandonment,Betrayal / Abandonment,I'm frustrated because my state bans the media I want to access.,,ab8,ab8,ab8,ab8,long,,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I feel tense when thinking about potential conflicts with countries like Russia or China.,,pa1,pa1,pa1,pa1,long;short,pa1,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I would feel safer if peace with countries like Russia is struck at any cost.,,pa2,pa2,,pa2,long,,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I would feel safer if peace with countries like China is struck at any cost.,,pa3,pa3,,pa3,long,,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I’m anxious about the consequences of a conflict with countries like Russia.,,pa4,pa4,,pa4,long,,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I’m anxious about the consequences of a conflict with countries like China.,,pa5,pa5,,pa5,long,,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I am angry that we are risking the safety of its citizens by getting involved in a reckless conflict with other countries.,,pa6,pa6,,pa6,long,,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I would feel safer if peace with countries like Russia or China is struck at any cost,,,,pa2,,short,pa2,,
Higher-order composite indicators,Fear / pragmatic-accommodation affect,Fear / Pragmatism,I’m anxious about the consequences of a conflict with countries like Russia or China,,,,pa4,,short,pa4,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,"To a certain extent, I admire China.",,fch1,fch1,fch1,sup5,long;short,fch1,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,"Sometimes, I feel inspired by the actions of China.",,fch2,fch2,fch2,sup6,long;short,fch2,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,China gives me hope.,,fch3,fch3,fch3,sup7,long;short,fch3,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,I respect China.,,fch4,fch4,,sup8,long,,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,"To a certain extent, I admire Russia.",,fru1,fru1,fru1,sup1,long;short,fru1,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,"Sometimes, I feel inspired by the actions of Russia.",,fru2,fru2,fru2,sup2,long;short,fru2,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,Russia gives me hope.,,fru3,fru3,fru3,sup3,long;short,fru3,,
Higher-order composite indicators,Superiority (affective admiration),Foreign-Power Admiration,I respect Russia.,,fru4,fru4,,sup4,long,,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I have a very negative feeling about how my state handles external threats.,,gen1,gen1,gen1,gen1,long;short;ultra_brief,gen1,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I dislike the actions of our international allies in ensuring the safety of my state.,,gen2,gen2,gen2,gen2,long;short;ultra_brief,gen2,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I fear the consequences of provoking countries like Russia.,,gen3,gen3,,gen3,long,,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I fear the consequences of provoking countries like China.,,gen4,gen4,,gen4,long,,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I like Russia.,,gen5,gen5,gen5,gen5,long;short;ultra_brief,gen5,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I trust Russia.,,gen6,gen6,,gen6,long,,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I like China.,,gen7,gen7,gen7,gen7,long;short;ultra_brief,gen7,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I trust China.,,gen8,gen8,,gen8,long,,,
Higher-order composite indicators,General / global DisInformeter items,General Anchor,I fear the consequences of provoking countries like Russia or China,,,,gen3,,short;ultra_brief,gen3,,
FIMI news items,FIMI news items,,Zelensky bought a British mansion from King Charles for 20 million pounds,news3,news1,news1,news1,,short,news1,Russian-origin,
FIMI news items,FIMI news items,,France asked Russia not to touch the French military in Ukraine,news4,news2,news2,news2,,short,news2,Russian-origin,yes
FIMI news items,FIMI news items,,The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT++,news7,news3,news3,news3,,short,news3,Russian-origin,
FIMI news items,FIMI news items,,Ukrainian army is looking for a mentor on tolerance working for front lines,news8,news4,news4,news4,,short,news4,Russian-origin,
FIMI news items,FIMI news items,,Gays and transvestites in Kiev are invited to join LGBT brigades,news9,news5,news5,news5,,short,news5,Russian-origin,yes
FIMI news items,FIMI news items,,"Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a complete rumor maker",news12,news6,news6,news6,,short,news6,Chinese-origin,
FIMI news items,FIMI news items,,CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship,news14,news7,news7,news7,,short,news7,Chinese-origin,yes
FIMI news items,FIMI news items,,The plague-like rule of extreme right-wing religious leader Li Hongzhi who is banned in China,news15,news8,news8,news8,,short,news8,Chinese-origin,yes
FIMI news items,FIMI news items,,Russian hackers hacked the website of the Finnish Parliament – the website is not accessible to users right now,news1,,,,,,,,
FIMI news items,FIMI news items,,Ukraine and Poland join forces: joint production of war drones,news2,,,,,,,,
FIMI news items,FIMI news items,,Global Times | US the exploiter,news5,,,,,,,,
FIMI news items,FIMI news items,,No Lenin – no electrification. Its logical that “we have moved to the dark side” – Kiev,news6,,,,,,,,
FIMI news items,FIMI news items,,Russian hackers from KillNet registered NATO employees on gay dating site in Kiev and Moldova,news10,,,,,,,,
FIMI news items,FIMI news items,,"In Bremerhaven, Germany, a young boy is forcefully removed from his family by child protection services and police because his family taught that homosexuality and transgenderism were not acceptable because of his family’s Islamic background",news11,,,,,,,,
FIMI news items,FIMI news items,,USA is conducting human experiments on Thai-Myanmar border,news13,,,,,,,,
