section,scale,scale_display,item_text,item_text_abbreviated,S1,S2,S3,S4,S5
First-order construct items,Immigration,Immigration,Foreigners do not belong in Lithuania.,Foreigners do not belong in Lithuania.,—,mi7,mi7,—,mi7
First-order construct items,Unprotected by international allies,Unprotected by international allies,EU is weak and has no power.,EU is weak and has no power.,unp1,unp1,unp1,—,unp1
First-order construct items,Unprotected by international allies,Unprotected by international allies,NATO will not be brave enough to defend our nation in case of military conflict.,NATO will not be brave enough to defend our nation in cas...,unp5,unp2,unp2,—,unp2
First-order construct items,Unprotected by international allies,Unprotected by international allies,NATO will betray us like Ukraine has been betrayed.,NATO will betray us like Ukraine has been betrayed.,unp6,unp3,unp3,—,unp3
First-order construct items,Unprotected by international allies,Unprotected by international allies,NATO has expanded too much and will be torn apart by internal conflicts.,NATO has expanded too much and will be torn apart by inte...,unp8,unp4,unp4,—,unp4
First-order construct items,Unprotected by international allies,Unprotected by international allies,The influence of the USA in the world is getting weaker and weaker.,The influence of the USA in the world is getting weaker a...,unp2,—,—,—,—
First-order construct items,Unprotected by international allies,Unprotected by international allies,We should quit NATO as NATO membership poses a great threat to our nation.,We should quit NATO as NATO membership poses a great thre...,unp7,—,—,—,—
First-order construct items,Abandoned by own state,Abandoned by own state,My state has abandoned its citizens.,My state has abandoned its citizens.,aban1,aban1,aban1,—,aban1
First-order construct items,Abandoned by own state,Abandoned by own state,My state is exploiting its citizens.,My state is exploiting its citizens.,aban2,aban2,aban2,—,aban2
First-order construct items,Abandoned by own state,Abandoned by own state,My state is a failed state.,My state is a failed state.,aban3,aban3,aban3,—,aban3
First-order construct items,Abandoned by own state,Abandoned by own state,I don't feel that my state takes good care of me.,I don't feel that my state takes good care of me.,aban4,aban4,aban4,—,aban4
First-order construct items,Abandoned by own state,Abandoned by own state,My state is not able to ensure jobs and fair income for everyone.,My state is not able to ensure jobs and fair income for e...,aban5,aban5,aban5,—,aban5
First-order construct items,Abandoned by own state,Abandoned by own state,I feel anger towards specific politicians who made our daily lives worse.,I feel anger towards specific politicians who made our da...,aban6,—,—,—,—
First-order construct items,Abandoned by own state,Abandoned by own state,I feel outraged with specific politicians who have failed us.,I feel outraged with specific politicians who have failed...,aban7,—,—,—,—
First-order construct items,Abandoned by own state,Abandoned by own state,I possess information on how specific politicians worked against our statehood.,I possess information on how specific politicians worked ...,aban8,—,—,—,—
First-order construct items,Abandoned by media (censorship),Abandoned by media (censorship),My state is censoring access to truthful information.,My state is censoring access to truthful information.,—,cen1,cen1,—,cen1
First-order construct items,Abandoned by media (censorship),Abandoned by media (censorship),My state is supporting media you cannot trust.,My state is supporting media you cannot trust.,—,cen2,cen2,—,cen2
First-order construct items,Abandoned by media (censorship),Abandoned by media (censorship),My state actively restricts my freedom of opinion.,My state actively restricts my freedom of opinion.,—,cen3,cen3,—,cen3
First-order construct items,Abandoned by media (censorship),Abandoned by media (censorship),All mainstream media are lying to us.,All mainstream media are lying to us.,cens1,cen4,cen4,—,cen4
First-order construct items,Abandoned by media (censorship),Abandoned by media (censorship),Mainstream media are trying to brainwash citizens of my country.,Mainstream media are trying to brainwash citizens of my c...,—,cen5,cen5,—,cen5
First-order construct items,Abandoned by media (censorship),Abandoned by media (censorship),Mainstream media are useless in providing truthful and accurate information.,Mainstream media are useless in providing truthful and ac...,—,cen6,cen6,—,cen6
First-order construct items,Pragmatism Russia,Pragmatism — Russia,It is a mistake that we are not allowed to collaborate with such states as Russia.,It is a mistake that we are not allowed to collaborate wi...,prag_ru1,pru1,pru1,—,pru1
First-order construct items,Pragmatism Russia,Pragmatism — Russia,Countries like Ukraine should finally start building good relations with Russia.,Countries like Ukraine should finally start building good...,prag_ru2,pru2,pru2,—,pru2
First-order construct items,Pragmatism Russia,Pragmatism — Russia,We should not become enemies with countries like Russia.,We should not become enemies with countries like Russia.,prag_ru3,pru3,pru3,—,pru3
First-order construct items,Pragmatism Russia,Pragmatism — Russia,The West should not behave aggressively towards countries like Russia.,The West should not behave aggressively towards countries...,prag_ru4,pru4,pru4,—,pru4
First-order construct items,Pragmatism Russia,Pragmatism — Russia,Countries like Russia never attack without being provoked.,Countries like Russia never attack without being provoked.,prag_ru5,pru5,pru5,—,pru5
First-order construct items,Pragmatism Russia,Pragmatism — Russia,Russia is like a sleeping bear that we should not wake up.,Russia is like a sleeping bear that we should not wake up.,prag_ru6,pru6,pru6,—,pru6
First-order construct items,Pragmatism China,Pragmatism — China,It is a mistake that we are not allowed to collaborate with states such as China.,It is a mistake that we are not allowed to collaborate wi...,prag_kin1,pch1,pch1,—,pkin1
First-order construct items,Pragmatism China,Pragmatism — China,Taiwan should finally stop provoking China.,Taiwan should finally stop provoking China.,prag_kin2,pch2,pch2,—,pkin2
First-order construct items,Pragmatism China,Pragmatism — China,We should not become enemies with countries like China.,We should not become enemies with countries like China.,prag_kin3,pch3,pch3,—,pkin3
First-order construct items,Pragmatism China,Pragmatism — China,The West should not behave aggressively towards countries like China.,The West should not behave aggressively towards countries...,prag_kin4,pch4,pch4,—,pkin4
First-order construct items,Pragmatism China,Pragmatism — China,Countries like China never attack without being provoked.,Countries like China never attack without being provoked.,prag_kin5,pch5,pch5,—,pkin5
First-order construct items,Pragmatism China,Pragmatism — China,China is like a sleeping dragon that we should not wake up.,China is like a sleeping dragon that we should not wake up.,prag_kin6,pch6,pch6,—,pkin6
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia has an important historic mission.,Russia has an important historic mission.,sup_ru1,sru1,sru1,—,sru1
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia will reemerge as the most powerful nation in the world.,Russia will reemerge as the most powerful nation in the w...,sup_ru2,sru2,sru2,—,sru2
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia is technologically advanced.,Russia is technologically advanced.,sup_ru3,sru3,sru3,—,sru3
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia has innovative military technologies.,Russia has innovative military technologies.,sup_ru4,sru4,sru4,—,sru4
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia represents a unique Slavic civilization.,Russia represents a unique Slavic civilization.,sup_ru6,sru5,sru5,—,sru5
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russian culture is a superior culture.,Russian culture is a superior culture.,sup_ru7,sru6,sru6,—,sru6
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia is the last bastion of anti-systemic and anti-global forces in Europe.,Russia is the last bastion of anti-systemic and anti-glob...,sup_ru8,sru7,sru7,—,sru7
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia is able to defend its core values.,Russia is able to defend its core values.,sup_ru9,sru8,sru8,—,sru8
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia is able to take good care of its citizens.,Russia is able to take good care of its citizens.,sup_ru10,sru9,sru9,—,sru9
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia has a unique spiritual potential.,Russia has a unique spiritual potential.,sup_ru11,sru10,sru10,—,sru10
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia draws its strength from its places of spiritual importance.,Russia draws its strength from its places of spiritual im...,sup_ru13,sru11,sru11,—,sru11
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russia will protect us if needed.,Russia will protect us if needed.,—,sru12,sru12,—,sru12
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Russian hackers are able to hack any institution in the world.,Russian hackers are able to hack any institution in the w...,sup_ru5,—,—,—,—
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Siberian cedar is a tree of exceptional spiritual importance.,Siberian cedar is a tree of exceptional spiritual importa...,sup_ru12,—,—,—,—
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Putin's strong and masculine personality resonates well with me.,Putin's strong and masculine personality resonates well w...,sup_ru14,—,—,—,—
First-order construct items,Superiority Russia,Superiority — Russia (beliefs),Putin is a strong leader standing up against the West.,Putin is a strong leader standing up against the West.,sup_ru15,—,—,—,—
First-order construct items,Superiority China,Superiority — China (beliefs),China has an important historic mission.,China has an important historic mission.,sup_kin1,ski1,ski1,—,ski1
First-order construct items,Superiority China,Superiority — China (beliefs),China will reemerge as the most powerful nation in the world.,China will reemerge as the most powerful nation in the wo...,sup_kin2,ski2,ski2,—,ski2
First-order construct items,Superiority China,Superiority — China (beliefs),China will soon have full control over the world economy.,China will soon have full control over the world economy.,sup_kin3,ski3,ski3,—,ski3
First-order construct items,Superiority China,Superiority — China (beliefs),China is technologically advanced.,China is technologically advanced.,sup_kin4,ski4,ski4,—,ski4
First-order construct items,Superiority China,Superiority — China (beliefs),China has innovative military technologies.,China has innovative military technologies.,sup_kin5,ski5,ski5,—,ski5
First-order construct items,Superiority China,Superiority — China (beliefs),China represents a unique civilization.,China represents a unique civilization.,sup_kin7,ski6,ski6,—,ski6
First-order construct items,Superiority China,Superiority — China (beliefs),Chinese culture is a superior culture.,Chinese culture is a superior culture.,sup_kin8,ski7,ski7,—,ski7
First-order construct items,Superiority China,Superiority — China (beliefs),China is successfully reshaping the global system for its own purposes.,China is successfully reshaping the global system for its...,sup_kin9,ski8,ski8,—,ski8
First-order construct items,Superiority China,Superiority — China (beliefs),China is able to defend its core values.,China is able to defend its core values.,sup_kin10,ski9,ski9,—,ski9
First-order construct items,Superiority China,Superiority — China (beliefs),China is able to take good care of its citizens..,China is able to take good care of its citizens..,sup_kin11,ski10,ski10,—,ski10
First-order construct items,Superiority China,Superiority — China (beliefs),China will protect us if needed.,China will protect us if needed.,—,ski11,ski11,—,ski11
First-order construct items,Superiority China,Superiority — China (beliefs),Chinese agents are able to infiltrate into any institution in the world.,Chinese agents are able to infiltrate into any institutio...,sup_kin6,—,—,—,—
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,Our national interests are more important than other countries' interests.,Our national interests are more important than other coun...,—,cet1,cet1,—,cet1
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,We should protect our nation's interests by any means necessary.,We should protect our nation's interests by any means nec...,—,cet2,cet2,—,cet2
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,"Preserving our culture, language, and identity as the predominant one in our country is of utmost importance for us.","Preserving our culture, language, and identity as the pre...",—,cet3,cet3,—,cet3
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,Everything that is non-Lithuanian may threaten the survival of our nation-state.,Everything that is non-Lithuanian may threaten the surviv...,—,cet4,cet4,—,cet4
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,Our enemies are constantly threatening our national interests.,Our enemies are constantly threatening our national inter...,—,cet5,cet5,—,cet5
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,"We should protect our culture, language and identity from foreign influences.","We should protect our culture, language and identity from...",—,cet6,cet6,—,cet6
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,"By joining unions like the EU or NATO, we are losing our independence.","By joining unions like the EU or NATO, we are losing our ...",poi6,cet7,cet7,—,cet7
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,We have sold our national identity to unions like the EU or NATO.,We have sold our national identity to unions like the EU ...,poi7,cet8,cet8,—,cet8
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,We should not easily adopt values and lifestyles that are imposed on us from outside,We should not easily adopt values and lifestyles that are...,poi1,—,—,—,—
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,Outsiders from abroad are constantly threatening our national identity.,Outsiders from abroad are constantly threatening our nati...,poi2,—,—,—,—
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,We should keep the land where our ancestors lived for ourselves.,We should keep the land where our ancestors lived for our...,poi4,—,—,—,—
First-order construct items,Poisonous ethnocentrism,Poisonous ethnocentrism,We should protect our traditions from outsiders.,We should protect our traditions from outsiders.,poi5,—,—,—,—
Higher-order composite indicators,THREAT,Threat (affective),I’m worried that our ways of life are sought to be destroyed.,I’m worried that our ways of life are sought to be destro...,—,th1,th1,th1,th1
Higher-order composite indicators,THREAT,Threat (affective),"I am sad because our culture, language, and identity are disappearing.","I am sad because our culture, language, and identity are ...",—,th2,th2,—,th2
Higher-order composite indicators,THREAT,Threat (affective),I feel a threat to the survival of our nation-state.,I feel a threat to the survival of our nation-state.,—,th3,th3,—,th3
Higher-order composite indicators,THREAT,Threat (affective),I hate Western liberalism.,I hate Western liberalism.,—,th4,th4,—,th4
Higher-order composite indicators,THREAT,Threat (affective),I’m worried that my country is being exploited by foreign countries.,I’m worried that my country is being exploited by foreign...,—,th5,th5,th5,th5
Higher-order composite indicators,THREAT,Threat (affective),I am angry when I think about how my country is being used by foreign countries.,I am angry when I think about how my country is being use...,—,th6,th6,th6,th6
Higher-order composite indicators,THREAT,Threat (affective),I am angry because immigration is changing our way of life for the worse.,I am angry because immigration is changing our way of lif...,—,th7,th7,th7,th7
Higher-order composite indicators,THREAT,Threat (affective),I feel worried because of uncontrolled immigration.,I feel worried because of uncontrolled immigration.,—,th8,th8,th8,th8
Higher-order composite indicators,THREAT,Threat (affective),I am worried about the spread of LGBT+ propaganda.,I am worried about the spread of LGBT+ propaganda.,—,th9,th9,th9,th9
Higher-order composite indicators,THREAT,Threat (affective),I’m outraged when thinking about the promotion LGBT+ ideas.,I’m outraged when thinking about the promotion LGBT+ ideas.,—,th10,th10,th10,th10
Higher-order composite indicators,THREAT,Threat (affective),I’m disgusted by the LGBT+ propaganda.,I’m disgusted by the LGBT+ propaganda.,—,th11,th11,—,th11
Higher-order composite indicators,THREAT,Threat (affective),I feel nostalgic for the days when moral values truly mattered to us.,I feel nostalgic for the days when moral values truly mat...,—,th12,th12,—,th12
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,"In general, I distrust our international allies.","In general, I distrust our international allies.",—,ab1,ab1,ab1,ab1
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,I feel disappointed by the actions of the international allies in protecting my country.,I feel disappointed by the actions of the international a...,—,ab2,ab2,ab2,ab2
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,I feel frustrated by how my state addresses citizens' needs.,I feel frustrated by how my state addresses citizens' needs.,—,ab3,ab3,ab3,ab3
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,I’m angry at my state for failing to protect the interests of its citizens.,I’m angry at my state for failing to protect the interest...,—,ab4,ab4,ab4,ab4
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,I feel sad when I think about how my country takes care of its citizens.,I feel sad when I think about how my country takes care o...,—,ab5,ab5,—,ab5
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,I hate my state because it fails to take care of its citizens.,I hate my state because it fails to take care of its citi...,—,ab6,ab6,—,ab6
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,I feel angry because the knowledge I want to access is being censored in my state.,I feel angry because the knowledge I want to access is be...,cens4,ab7,ab7,ab7,ab7
Higher-order composite indicators,DISTRUST/BETRAYAL/ABANDONMENT,Distrust / betrayal / abandonment,I'm frustrated because my state bans the media I want to access.,I'm frustrated because my state bans the media I want to ...,—,ab8,ab8,ab8,ab8
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I feel tense when thinking about potential conflicts with countries like Russia or China.,I feel tense when thinking about potential conflicts with...,—,pa1,pa1,pa1,pa1
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I would feel safer if peace with countries like Russia is struck at any cost.,I would feel safer if peace with countries like Russia is...,—,pa2,pa2,—,pa2
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I would feel safer if peace with countries like China is struck at any cost.,I would feel safer if peace with countries like China is ...,—,pa3,pa3,—,pa3
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I’m anxious about the consequences of a conflict with countries like Russia.,I’m anxious about the consequences of a conflict with cou...,—,pa4,pa4,—,pa4
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I’m anxious about the consequences of a conflict with countries like China.,I’m anxious about the consequences of a conflict with cou...,—,pa5,pa5,—,pa5
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I am angry that we are risking the safety of its citizens by getting involved in a reckless conflict with other countries.,I am angry that we are risking the safety of its citizens...,—,pa6,pa6,—,pa6
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I would feel safer if peace with countries like Russia or China is struck at any cost,I would feel safer if peace with countries like Russia or...,—,—,—,pa2,—
Higher-order composite indicators,FEAR,Fear / pragmatic-accommodation affect,I’m anxious about the consequences of a conflict with countries like Russia or China,I’m anxious about the consequences of a conflict with cou...,—,—,—,pa4,—
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),"To a certain extent, I admire China.","To a certain extent, I admire China.",—,fch1,fch1,fch1,sup5
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),"Sometimes, I feel inspired by the actions of China.","Sometimes, I feel inspired by the actions of China.",—,fch2,fch2,fch2,sup6
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),China gives me hope.,China gives me hope.,—,fch3,fch3,fch3,sup7
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),I respect China.,I respect China.,—,fch4,fch4,—,sup8
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),"To a certain extent, I admire Russia.","To a certain extent, I admire Russia.",—,fru1,fru1,fru1,sup1
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),"Sometimes, I feel inspired by the actions of Russia.","Sometimes, I feel inspired by the actions of Russia.",—,fru2,fru2,fru2,sup2
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),Russia gives me hope.,Russia gives me hope.,—,fru3,fru3,fru3,sup3
Higher-order composite indicators,SUPERIORITY,Superiority (affective admiration),I respect Russia.,I respect Russia.,—,fru4,fru4,—,sup4
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I have a very negative feeling about how my state handles external threats.,I have a very negative feeling about how my state handles...,—,gen1,gen1,gen1,gen1
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I dislike the actions of our international allies in ensuring the safety of my state.,I dislike the actions of our international allies in ensu...,—,gen2,gen2,gen2,gen2
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I fear the consequences of provoking countries like Russia.,I fear the consequences of provoking countries like Russia.,—,gen3,gen3,—,gen3
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I fear the consequences of provoking countries like China.,I fear the consequences of provoking countries like China.,—,gen4,gen4,—,gen4
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I like Russia.,I like Russia.,—,gen5,gen5,gen5,gen5
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I trust Russia.,I trust Russia.,—,gen6,gen6,—,gen6
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I like China.,I like China.,—,gen7,gen7,gen7,gen7
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I trust China.,I trust China.,—,gen8,gen8,—,gen8
Higher-order composite indicators,GENERAL,General / global DisInformeter items,I fear the consequences of provoking countries like Russia or China,I fear the consequences of provoking countries like Russi...,—,—,—,gen3,—
FIMI news items,FIMI News Items,FIMI news items,Zelensky bought a British mansion from King Charles for 20 million pounds,Zelensky bought a British mansion from King Charles for 2...,news3,news1,news1,news1,—
FIMI news items,FIMI News Items,FIMI news items,France asked Russia not to touch the French military in Ukraine,France asked Russia not to touch the French military in U...,news4,news2,news2,news2,—
FIMI news items,FIMI News Items,FIMI news items,The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT++,The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics...,news7,news3,news3,news3,—
FIMI news items,FIMI News Items,FIMI news items,Ukrainian army is looking for a mentor on tolerance working for front lines,Ukrainian army is looking for a mentor on tolerance worki...,news8,news4,news4,news4,—
FIMI news items,FIMI News Items,FIMI news items,Gays and transvestites in Kiev are invited to join LGBT brigades,Gays and transvestites in Kiev are invited to join LGBT b...,news9,news5,news5,news5,—
FIMI news items,FIMI News Items,FIMI news items,"Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a complete rumor maker","Li-Meng Yan, a Chinese virologist who alleges that the CO...",news12,news6,news6,news6,—
FIMI news items,FIMI News Items,FIMI news items,CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship,CGTN: Closer People-to-People Bonds foster China-Vietnam ...,news14,news7,news7,news7,—
FIMI news items,FIMI News Items,FIMI news items,The plague-like rule of extreme right-wing religious leader Li Hongzhi who is banned in China,The plague-like rule of extreme right-wing religious lead...,news15,news8,news8,news8,—
FIMI news items,FIMI News Items,FIMI news items,Russian hackers hacked the website of the Finnish Parliament – the website is not accessible to users right now,Russian hackers hacked the website of the Finnish Parliam...,news1,—,—,—,—
FIMI news items,FIMI News Items,FIMI news items,Ukraine and Poland join forces: joint production of war drones,Ukraine and Poland join forces: joint production of war d...,news2,—,—,—,—
FIMI news items,FIMI News Items,FIMI news items,Global Times | US the exploiter,Global Times | US the exploiter,news5,—,—,—,—
FIMI news items,FIMI News Items,FIMI news items,No Lenin – no electrification. Its logical that “we have moved to the dark side” – Kiev,No Lenin – no electrification. Its logical that “we have ...,news6,—,—,—,—
FIMI news items,FIMI News Items,FIMI news items,Russian hackers from KillNet registered NATO employees on gay dating site in Kiev and Moldova,Russian hackers from KillNet registered NATO employees on...,news10,—,—,—,—
FIMI news items,FIMI News Items,FIMI news items,"In Bremerhaven, Germany, a young boy is forcefully removed from his family by child protection services and police because his family taught that homosexuality and transgenderism were not acceptable because of his family’s Islamic background","In Bremerhaven, Germany, a young boy is forcefully remove...",news11,—,—,—,—
FIMI news items,FIMI News Items,FIMI news items,USA is conducting human experiments on Thai-Myanmar border,USA is conducting human experiments on Thai-Myanmar border,news13,—,—,—,—
