item_label,item_label_v2,item_label_v3,S1,S2,S3,dv_pretest,scale,subscale,concept,top-layer,Notes
NATO will not be brave enough to defend our nation in case of military conflict.,Our international allies will not be brave enough to defend our country in case of military conflict.,,unp5,unp2,unp2,NA,Unprotected by international allies,,ABANF(S2),ABAND(S2),
NATO will betray us like Ukraine has been betrayed.,Our international allies will ultimately betray us.,,unp6,unp3,unp3,NA,Unprotected by international allies,,ABANF(S2),ABAND(S2),
We should quit NATO as NATO membership poses a great threat to our nation.,,,unp7,NA,NA,NA,Unprotected by international allies,,,,
NATO has expanded too much and will be torn apart by internal conflicts.,The unity of the international allies will be torn apart by internal conflicts.,,unp8,unp4,unp4,NA,Unprotected by international allies,,ABANF(S2),ABAND(S2),
I’m worried that our ways of life are sought to be destroyed.,I’m worried that our way of life is under attack,,NA,Twor1,th1,th1,THREAT,,,,
"I am sad because our culture, language, and identity are disappearing.",,,NA,Tsad,th2,NA,THREAT,,,,
I feel a threat to the survival of our nation-state.,,,NA,Tthr,th3,NA,THREAT,,,,
I hate Western liberalism.,,,NA,Thate,th4,NA,THREAT,,,THREAT(S2),
I’m worried that my country is being exploited by foreign countries.,,,NA,Twor2,th5,th5,THREAT,,,,
I am angry when I think about how my country is being used by foreign countries.,,,NA,Tang1,th6,th6,THREAT,,,THREAT(S2),
I am angry because immigration is changing our way of life for the worse.,,,NA,Tang2,th7,th7,THREAT,,,,
I feel worried because of uncontrolled immigration.,,,NA,Twor3,th8,th8,THREAT,,,,
I am worried about the spread of LGBT+ propaganda.,,,NA,Twor4,th9,th9,THREAT,,,THREAT(S2),
I’m outraged when thinking about the promotion LGBT+ ideas.,,,NA,Tang3,th10,th10,THREAT,,,,
I’m disgusted by the LGBT+ propaganda.,,,NA,Tdis,th11,NA,THREAT,,,,
I feel nostalgic for the days when moral values truly mattered to us.,,,NA,Tnost,th12,NA,THREAT,,,,
My state has abandoned its citizens.,,,aban1,aban1,aban1,NA,Abandoned by own state,,ABANH(S2),ABAND(S2),
My state is exploiting its citizens.,,,aban2,aban2,aban2,NA,Abandoned by own state,,ABANH(S2),ABAND(S2),
My state is a failed state.,,,aban3,aban3,aban3,NA,Abandoned by own state,,ABANH(S2),ABAND(S2),
I don't feel that my state takes good care of me.,I don't think that my state takes good care of us.,,aban4,aban4,aban4,NA,Abandoned by own state,,ABANH(S2),ABAND(S2),
My state is not able to ensure jobs and fair income for everyone.,,,aban5,aban5,aban5,NA,Abandoned by own state,,ABANH(S2),ABAND(S2),
I feel anger towards specific politicians who made our daily lives worse.,,,aban6,NA,NA,NA,Abandoned by own state,,,,
I feel outraged with specific politicians who have failed us.,,,aban7,NA,NA,NA,Abandoned by own state,,,,
I possess information on how specific politicians worked against our statehood.,,,aban8,NA,NA,NA,Abandoned by own state,,,,
My state is censoring access to truthful information.,,,NA,cen1,cen1,NA,Abandoned by media (censorship),,,,
My state is supporting media you cannot trust.,,,NA,cen2,cen2,NA,Abandoned by media (censorship),,ABANM(S2),ABAND(S2),
My state actively restricts my freedom of opinion.,,,NA,cen3,cen3,NA,Abandoned by media (censorship),,,,
All mainstream media are lying to us.,,,cens1,cen4,cen4,NA,Abandoned by media (censorship),,ABANM(S2),ABAND(S2),
Mainstream media are trying to brainwash citizens of my country.,,,NA,cen5,cen5,NA,Abandoned by media (censorship),,ABANM(S2),ABAND(S2),
Mainstream media are useless in providing truthful and accurate information.,,,NA,cen6,cen6,NA,Abandoned by media (censorship),,ABANM(S2),ABAND(S2),
"In general, I distrust our international allies.",,,NA,Adist,ab1,ab1,DISTRUST/BETRAYAL/ABANDONMENT,,,,
I feel disappointed by the actions of the international allies in protecting my country.,,,NA,Adisap,ab2,ab2,DISTRUST/BETRAYAL/ABANDONMENT,,,ABAND(S2),
I feel frustrated by how my state addresses citizens' needs.,,,NA,Airr1,ab3,ab3,DISTRUST/BETRAYAL/ABANDONMENT,,,,
I’m angry at my state for failing to protect the interests of its citizens.,,,NA,Aang1,ab4,ab4,DISTRUST/BETRAYAL/ABANDONMENT,,,ABAND(S2),
I feel sad when I think about how my country takes care of its citizens.,,,NA,Asad,ab5,NA,DISTRUST/BETRAYAL/ABANDONMENT,,,,
I hate my state because it fails to take care of its citizens.,,,NA,Ahate,ab6,NA,DISTRUST/BETRAYAL/ABANDONMENT,,,,
I feel angry because the knowledge I want to access is being censored in my state.,I feel anger because the information I want to access is being censored in my country.,,cens4,Aang2,ab7,ab7,DISTRUST/BETRAYAL/ABANDONMENT,,,ABAND(S2),
I'm frustrated because my state bans the media I want to access.,,,NA,Airr2,ab8,ab8,DISTRUST/BETRAYAL/ABANDONMENT,,,,
I'm constantly following media that is banned in my country.,I'm constantly following media that are banned in my country..,,cens2,int1,int1,NA,,,,,DV?
I trust media that are banned in my country.,,,NA,int2,int2,NA,,,,,DV?
I possess comprehensive knowledge because I know how to access media channels that are banned in my country.,,,cens3,int3,int3,NA,,,,,DV?
I'm proud of myself because I know how to access media that are banned in my country.,,,cens5,NA,NA,NA,,,,,
I feel tense when thinking about potential conflicts with countries like Russia or China.,,,NA,Panx1,pa1,pa1,FEAR ,,,,
I would feel safer if peace with countries like Russia is struck at any cost.,,,NA,Pfear1,pa2,NA,FEAR ,,,PRAG(S2),
I would feel safer if peace with countries like China is struck at any cost.,,,NA,Pfear2,pa3,NA,FEAR ,,,,
I would feel safer if peace with countries like Russia or China is struck at any cost,,,NA,NA,NA,pa2,FEAR ,,,,
I’m anxious about the consequences of a conflict with countries like Russia.,,,NA,Panx2,pa4,NA,FEAR ,,,,
I’m anxious about the consequences of a conflict with countries like China.,,,NA,Panx3,pa5,NA,FEAR ,,,,
I’m anxious about the consequences of a conflict with countries like Russia or China,,,NA,NA,NA,pa4,FEAR ,,,,
I am angry that we are risking the safety of its citizens by getting involved in a reckless conflict with other countries.,,,NA,Pang,pa6,NA,FEAR ,,,PRAG(S2),
Russia has an important historic mission.,,,sup_ru1,suru1,sru1,NA,Superiority Russia,,SUPR(S2),SUPF(S2),
Russia will reemerge as the most powerful nation in the world.,Russia will reemerge as the most powerful country in the world.,,sup_ru2,suru2,sru2,NA,Superiority Russia,,SUPR(S2),SUPF(S2),
Russia is technologically advanced.,,,sup_ru3,suru3,sru3,NA,Superiority Russia,,SUPR(S2),SUPF(S2),
Russia has innovative military technologies.,,,sup_ru4,suru4,sru4,NA,Superiority Russia,,,,
Russian hackers are able to hack any institution in the world.,,,sup_ru5,NA,NA,NA,Superiority Russia,,,,
Russia represents a unique Slavic civilization.,,,sup_ru6,suru5,sru5,NA,Superiority Russia,,,,
Russian culture is a superior culture.,,,sup_ru7,suru6,sru6,NA,Superiority Russia,,SUPR(S2),SUPF(S2),
Russia is the last bastion of anti-systemic and anti-global forces in Europe.,,,sup_ru8,suru7,sru7,NA,Superiority Russia,,,,
Russia is able to defend its core values.,,,sup_ru9,suru8,sru8,NA,Superiority Russia,,SUPR(S2),SUPF(S2),
Russia is able to take good care of its citizens.,,,sup_ru10,suru9,sru9,NA,Superiority Russia,,SUPR(S2),SUPF(S2),
Russia has a unique spiritual potential.,,,sup_ru11,suru10,sru10,NA,Superiority Russia,,,,
Siberian cedar is a tree of exceptional spiritual importance.,,,sup_ru12,NA,NA,NA,Superiority Russia,,,,
Russia draws its strength from its places of spiritual importance.,,,sup_ru13,suru11,sru11,NA,Superiority Russia,,,,
Russia will protect us if needed.,,,NA,suru12,sru12,NA,Superiority Russia,,,,
Putin's strong and masculine personality resonates well with me.,,,sup_ru14,NA,NA,NA,Superiority Russia,,,,
Putin is a strong leader standing up against the West.,,,sup_ru15,NA,NA,NA,Superiority Russia,,,,
China has an important historic mission.,,,sup_kin1,such1,ski1,NA,Superiority China,,,,
China will reemerge as the most powerful nation in the world.,China will reemerge as the most powerful country in the world.,,sup_kin2,such2,ski2,NA,Superiority China,,,,
China will soon have full control over the world economy.,,,sup_kin3,such3,ski3,NA,Superiority China,,,,
China is technologically advanced.,,,sup_kin4,such4,ski4,NA,Superiority China,,,,
China has innovative military technologies.,,,sup_kin5,such5,ski5,NA,Superiority China,,,,
Chinese agents are able to infiltrate into any institution in the world.,,,sup_kin6,NA,NA,NA,Superiority China,,,,
China represents a unique civilization.,,,sup_kin7,such6,ski6,NA,Superiority China,,,,
Chinese culture is a superior culture.,,,sup_kin8,such7,ski7,NA,Superiority China,,,,
China is successfully reshaping the global system for its own purposes.,,,sup_kin9,such8,ski8,NA,Superiority China,,,,
China is able to defend its core values.,,,sup_kin10,such9,ski9,NA,Superiority China,,,,
China is able to take good care of its citizens..,,,sup_kin11,such10,ski10,NA,Superiority China,,,,
China will protect us if needed.,,,NA,such11,ski11,NA,Superiority China,,,,
"To a certain extent, I admire Russia.",,,NA,Sru1,fru1,fru1,SUPERIORITY ,,,,
"Sometimes, I feel inspired by the actions of Russia.",Sometimes I feel inspired by Russia,,NA,Sru2,fru2,fru2,SUPERIORITY ,,,SUPF(S2),
Russia gives me hope.,,,NA,Sru3,fru3,fru3,SUPERIORITY ,,,SUPF(S2),
I respect Russia.,,,NA,Sru4,fru4,NA,SUPERIORITY ,,,SUPF(S2),
"To a certain extent, I admire China.",,,NA,Sch1,fch1,fch1,SUPERIORITY ,,,,
"Sometimes, I feel inspired by the actions of China.",Sometimes I feel inspired by China,,NA,Sch2,fch2,fch2,SUPERIORITY ,,,,
China gives me hope.,,,NA,Sch3,fch3,fch3,SUPERIORITY ,,,,
I respect China.,,,NA,Sch4,fch4,NA,SUPERIORITY ,,,,
It is a mistake that we are not allowed to collaborate with states such as China.,,,prag_kin1,pch1,pch1,NA,Pragmatism China,,,,
Taiwan should finally stop provoking China.,,,prag_kin2,pch2,pch2,NA,Pragmatism China,,,,
We should not become enemies with countries like China.,,,prag_kin3,pch3,pch3,NA,Pragmatism China,,,,
The West should not behave aggressively towards countries like China.,,,prag_kin4,pch4,pch4,NA,Pragmatism China,,,,
Countries like China never attack without being provoked.,,,prag_kin5,pch5,pch5,NA,Pragmatism China,,,,
China is like a sleeping dragon that we should not wake up.,,,prag_kin6,pch6,pch6,NA,Pragmatism China,,,,
It is a mistake that we are not allowed to collaborate with such states as Russia.,,,prag_ru1,pru1,pru1,NA,Pragmatism Russia,,PRAGR(S2),PRAG(S2),
Countries like Ukraine should finally start building good relations with Russia.,,,prag_ru2,pru2,pru2,NA,Pragmatism Russia,,PRAGR(S2),PRAG(S2),
We should not become enemies with countries like Russia.,,,prag_ru3,pru3,pru3,NA,Pragmatism Russia,,,,
The West should not behave aggressively towards countries like Russia.,,,prag_ru4,pru4,pru4,NA,Pragmatism Russia,,PRAGR(S2),PRAG(S2),
Countries like Russia never attack without being provoked.,,,prag_ru5,pru5,pru5,NA,Pragmatism Russia,,PRAGR(S2),PRAG(S2),
Russia is like a sleeping bear that we should not wake up.,,,prag_ru6,pru6,pru6,NA,Pragmatism Russia,,,,
I have a very negative feeling about how my state handles external threats.,,,NA,gen1,gen1,gen1,GENERAL,,,,
I dislike the actions of our international allies in ensuring the safety of my state.,,,NA,gen2,gen2,gen2,GENERAL,,,,
I fear the consequences of provoking countries like Russia.,,,NA,gen3,gen3,NA,GENERAL,,,,
I fear the consequences of provoking countries like China.,,,NA,gen4,gen4,NA,GENERAL,,,,
I fear the consequences of provoking countries like Russia or China,,,NA,NA,NA,gen3,GENERAL,,,,
I like Russia.,,,NA,gen5,gen5,gen5,GENERAL,,,,
I trust Russia.,,,NA,gen6,gen6,NA,GENERAL,,,,
I like China.,,,NA,gen7,gen7,gen7,GENERAL,,,,
I trust China.,,,NA,gen8,gen8,NA,GENERAL,,,,
Our national interests are more important than other countries' interests.,,,NA,cet1,cet1,NA,Poisonous ethnocentrism,,,,
We should protect our nation's interests by any means necessary.,,,NA,cet2,cet2,NA,Poisonous ethnocentrism,,,,
"Preserving our culture, language, and identity as the predominant one in our country is of utmost importance for us.",,,NA,cet3,cet3,NA,Poisonous ethnocentrism,,,,
Everything that is non-Lithuanian may threaten the survival of our nation-state.,Everything that is non-German may threaten the survival of our nation-state.,,NA,cet4,cet4,NA,Poisonous ethnocentrism,,,,
Our enemies are constantly threatening our national interests.,,,NA,cet5,cet5,NA,Poisonous ethnocentrism,,,,
"We should protect our culture, language and identity from foreign influences.",,,NA,cet6,cet6,NA,Poisonous ethnocentrism,,,,
We should not easily adopt values and lifestyles that are imposed on us from outside,,,poi1,NA,NA,NA,Poisonous ethnocentrism,,,,
Outsiders from abroad are constantly threatening our national identity.,,,poi2,NA,NA,NA,Poisonous ethnocentrism,,,,
We are unable to use our nation’s greatest potential because foreign countries are exploiting us.,We are unable to use our nation’s full potential because foreign countries are exploiting us.,,poi3,exp1,exp1,NA,Poisonous ethnocentrism,,,,
We should keep the land where our ancestors lived for ourselves.,,,poi4,NA,NA,NA,Poisonous ethnocentrism,,,,
We should protect our traditions from outsiders.,,,poi5,NA,NA,NA,Poisonous ethnocentrism,,,,
"By joining unions like the EU or NATO, we are losing our independence.","By joining unions like the EU and NATO, we are losing our independence.",,poi6,cet7,cet7,NA,Poisonous ethnocentrism,,,,
We have sold our national identity to unions like the EU or NATO.,We have sold our national identity to unions like the EU and NATO.,,poi7,cet8,cet8,NA,Poisonous ethnocentrism,,,,
,,,,,,,,,,,
Russian hackers hacked the website of the Finnish Parliament – the website is not accessible to users right now,,,news1,NA,NA,NA,FIMI News Items,,,,
Ukraine and Poland join forces: joint production of war drones,,,news2,NA,NA,FIMI-02,FIMI News Items,,,,
Zelensky bought a British mansion from King Charles for 20 million pounds,,,news3,news1,news1,FIMI-01,FIMI News Items,,FIMI(S2),,
France asked Russia not to touch the French military in Ukraine,,,news4,news2,news2,FIMI-03,FIMI News Items,,FIMI(S2),,
Global Times | US the exploiter,,,news5,NA,NA,NA,FIMI News Items,,,,
No Lenin – no electrification. Its logical that “we have moved to the dark side” – Kiev,,,news6,NA,NA,NA,FIMI News Items,,,,
The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT++,The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT+,,news7,news3,news3,FIMI-04,FIMI News Items,,,,
Ukrainian army is looking for a mentor on tolerance working for front lines,The Ukrainian army is looking for a mentor on tolerance working with front line troops,,news8,news4,news4,FIMI-05,FIMI News Items,,,,
Gays and transvestites in Kiev are invited to join LGBT brigades,Gays and transvestites in Kiev are invited to join LGBT military brigades,,news9,news5,news5,FIMI-06,FIMI News Items,,FIMI(S2),,
Russian hackers from KillNet registered NATO employees on gay dating site in Kiev and Moldova,,,news10,NA,NA,NA,FIMI News Items,,,,
"In Bremerhaven, Germany, a young boy is forcefully removed from his family by child protection services and police because his family taught that homosexuality and transgenderism were not acceptable because of his family’s Islamic background",,,news11,NA,NA,NA,FIMI News Items,,,,
"Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a complete rumor maker","Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a known rumor maker",,news12,news6,news6,FIMI-07,FIMI News Items,,,,
USA is conducting human experiments on Thai-Myanmar border,,,news13,NA,NA,NA,FIMI News Items,,,,
CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship,,,news14,news7,news7,FIMI-08,FIMI News Items,,,,
The plague-like rule of extreme right-wing religious leader Li Hongzhi who is banned in China,The plague-like rule of extreme right-wing religious leader Li Hongzhi is banned in China,,news15,news8,news8,NA,FIMI News Items,,,,
Hungary's Prime Minister Viktor Orbán's son-in-law is building a hotel empire,,,NA,NA,NA,NonFIMI-01,Non FIMI News Items,,,,
"Baltics, Poland, Finland, Norway agree on 'drone wall' to protect borders",,,NA,NA,NA,NonFIMI-02,Non FIMI News Items,,,,
Portuguese embassy in Ukraine was affected by the Russian missile strike,,,NA,NA,NA,NonFIMI-03,Non FIMI News Items,,,,
Olympic Committee emphasises inclusion in sport during LGBTQ Pride Month,,,NA,NA,NA,NonFIMI-04,Non FIMI News Items,,,,
British Army trains Ukrainian officers how to detect and manage battle stress in their troops,,,NA,NA,NA,NonFIMI-05,Non FIMI News Items,,,,
Ukraine's highest profile combat unit to recruit English-speaking soldiers,,,NA,NA,NA,NonFIMI-06,Non FIMI News Items,,,,
CIA Now Favors Lab Leak Theory On Origins of Covid-19,,,NA,NA,NA,NonFIMI-07,Non FIMI News Items,,,,
"China, North Korea mark 75th anniversary of ties with vows of cooperation",,,NA,NA,NA,NonFIMI-08,Non FIMI News Items,,,,
,,,,,,,,,,,
"Sveiki, _io tyrimo tikslas – geriau suprasti, kaip _mon_s apdoroja ir vertina informacij_. U_duosime klausimus, nor_dami i_siai_kinti J_s_ nuomon_ ir _sitikinimus _vairiomis temomis, taip pat suprasti, kaip vertinate naujienas. Apklausa u_truks apie 15 minu_i_. J_s_ pateikti atsakymai bus naudojami tik apibendrinta ir pilnai anonimine forma mokslini_ tyrim_ tikslais. Paspausdami _emiau esant_ mygtuk_ patvirtinate, kad J_s_ dalyvavimas tyrime yra savanori_kas, kad esate 18 met_ ar vyresnis ir kad _inote, jog galite bet kada ir d_l bet kokios prie_asties nutraukti savo dalyvavim_ tyrime.","Hallo und herzlich willkommen! Diese Umfrage dient dazu, besser zu verstehen, wie Menschen Informationen wahrnehmen, verarbeiten und bewerten. Wenn Sie an dieser Studie teilnehmen, werden Sie gebeten, Fragen zu Ihren Meinungen zu verschiedenen Themen sowie zur Bewertung von Nachrichteninhalten zu beantworten. Die Teilnahme dauert etwa 15 Minuten. Wir versichern Ihnen, dass alle Angaben vollständig anonymisiert behandelt werden. Ihre Antworten werden nur in anonymisierter Form für wissenschaftliche Publikationen oder andere Veröffentlichungen verwendet. Mit dem Klick auf die Schaltfläche unten bestätigen Sie, dass Ihre Teilnahme an der Studie freiwillig ist, dass Sie mindestens 18 Jahre alt sind und dass Sie informiert wurden, dass Sie Ihre Teilnahme jederzeit und aus beliebigen Gründen beenden können.",,consent,consentLT,consentLT,NA,,,,,
"The data quality of this study is very important for us. Bad-quality data could lead to incorrect conclusions. Therefore, we would like to know whether we can trust your answers. Did you answer all the questions seriously? We would appreciate your honest",,,cons,cons,cons,quality,,,,,
Are you currently 18 years of age?,Sind Sie derzeit mindestens 18 Jahre alt?,,screening_question,screening_question,screening_question,NA,,,,,
I speak fluent Czechoslovak language.,,,NA,att1,att1,NA,Attention Check,,,,
Last summer I have spent my vacation on Bonferroni island.,,,attLT,att2,att2,NA,Attention Check,,,,
Please select '4' for this item to show you're paying attention,,,NA,NA,NA,att,Attention Check,,,,
"What is the aim of the current study? If you have no ideas, leave it blank.",,,aim,aim,aim,NA,,,,,
"What is the highest level of school you have completed, or the highest degree you have received?",,,edu,edu,edu,NA,,,,,
Please indicate your age:,What is your age?,Wie alt sind Sie?,age,age,age,age,,,,,
AgeBucket,,,NA,NA,AgeBucket,NA,,,,,
Please indicate your gender::,Bitte geben Sie Ihr Geschlecht an:,,gender,gender,gender,gender,,,,,
What is your nationality?,,,NA,NA,NA,nationality,,,,,
Please indicate your average disposable income per family member (per month):,,,inc,income,income,NA,,,,,
"Imagine that this ladder pictures how society is set up. At the top of the ladder are the people who are the best off, those who have the most money, most education, and best jobs. At the bottom are the people who are the worst off, those who have the lea",,,ladder,NA,NA,NA,,,,,
How often do you share information you read or hear on media with others?,,,freq,NA,NA,NA,,,,,
In welchem Bundesland wohnen Sie?,,,NA,NA,land,NA,,,,,
In which part of Germany do you live?,,,NA,NA,part,NA,,,,,
Indicate the city you currently live in:,,,city,city,NA,NA,,,,,
Indicate your native language: - Other (indicate) - Text,,,lang_4_TEXT,lang_4_TEXT,NA,language_native,,,,,
Indicate your native language: - Other [please specify] – Text,,,NA,NA,lang_7_TEXT,NA,,,,,
Indicate your native language: - Selected Choice,,,lang,lang,lang,NA,,,,,
Please evaluate your knowledge of the language on a 9-point scale: - Lithuanian,Please evaluate your knowledge of the language: - Lithuanian,,knowl_1,knowl_1,NA,language_level_2,,,,,
Please evaluate your knowledge of the language on a 9-point scale: - Russian,Please evaluate your knowledge of the language: - Russian,"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Russian",knowl_2,knowl_2,knowl_2,language_level_3,,,,,
Please evaluate your knowledge of the language on a 9-point scale: - Polish,Please evaluate your knowledge of the language: - Polish,"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Polish",knowl_3,knowl_3,knowl_4,language_level_4,,,,,
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - German",,,NA,NA,knowl_1,NA,,,,,
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Turkish",,,NA,NA,knowl_3,NA,,,,,
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - Italian",,,NA,NA,knowl_5,NA,,,,,
"Please evaluate your knowledge of the language on a 9-point scale: 1 = “none”, 9 = “fluent” - English",,,NA,NA,knowl_6,language_level_1,,,,,
Please indicate in which language you would like to participate in the survey:,,,language,NA,NA,NA,,,,,
"If there is anything you would like us to know, write your comment below. If not, proceed to the next page to complete the study.",,,comm,comm,comm,NA,,,,,
,,,,,,,,,,,
Response ID,,,ResponseId,NA,ResponseId,NA,,,,,
Start Date,,,StartDate,StartDate,StartDate,NA,,,,,
End Date,,,EndDate,EndDate,EndDate,NA,,,,,
Duration (in seconds),,,Duration__in_seconds_,Duration__in_seconds_,Duration__in_seconds_,NA,,,,,
Progress,,,Progress,Progress,NA,NA,,,,,
Finished,,,Finished,NA,Finished,NA,,,,,
Recorded Date,,,RecordedDate,RecordedDate,RecordedDate,NA,,,,,
Response Type,,,Status,NA,NA,NA,,,,,
Location Latitude,,,LocationLatitude,NA,NA,NA,,,,,
Location Longitude,,,LocationLongitude,NA,NA,NA,,,,,
IP Address,,,IPAddress,NA,NA,NA,,,,,
,,,,,,,,,,,
First in the display order,,,NEWS_ORDER,NA,NA,NA,,,,,
FL_16 - Block Randomizer - Display Order DisInforMeter scale,,,FL_16_DO_DisInforMeter,NA,NA,NA,,,,,
FL_16 - Block Randomizer - Display Order DisInforMeterscale,,,NA,FL_16_DO_DisInforMeterscale,FL_16_DO_DisInforMeterscale,NA,,,,,
FL_16 - Block Randomizer - Display Order News,,,FL_16_DO_News,FL_16_DO_news,FL_16_DO_news,NA,,,,,
NEWS - Display Order news1,,,DO_news1,NA,news_DO_news1,NA,,,,,
NEWS - Display Order news10,,,DO_news10,NA,NA,NA,,,,,
NEWS - Display Order news11,,,DO_news11,NA,NA,NA,,,,,
NEWS - Display Order news12,,,DO_news12,NA,NA,NA,,,,,
NEWS - Display Order news13,,,DO_news13,NA,NA,NA,,,,,
NEWS - Display Order news14,,,DO_news14,NA,NA,NA,,,,,
NEWS - Display Order news15,,,DO_news15,NA,NA,NA,,,,,
NEWS - Display Order news2,,,DO_news2,NA,news_DO_news2,NA,,,,,
NEWS - Display Order news3,,,DO_news3,NA,news_DO_news3,NA,,,,,
NEWS - Display Order news4,,,DO_news4,NA,news_DO_news4,NA,,,,,
NEWS - Display Order news5,,,DO_news5,NA,news_DO_news5,NA,,,,,
NEWS - Display Order news6,,,DO_news6,NA,news_DO_news6,NA,,,,,
NEWS - Display Order news7,,,DO_news7,NA,news_DO_news7,NA,,,,,
NEWS - Display Order news8,,,DO_news8,news_DO_news8,news_DO_news8,NA,,,,,
NEWS - Display Order news9,,,DO_news9,NA,NA,NA,,,,,
news - Display Order newsTxtLT,,,NA,NA,news_DO_newsTxtLT,NA,,,,,
Display order | scale or news first,,,ORDER,NA,NA,NA,,,,,
Display order of news,,,NA,NA,ORDER2,NA,,,,,
Display order: DisInforMeter vs. News,,,NA,ORDER1,ORDER1,NA,,,,,
,,,,,,,,,,,
General global items,General global items (8 items),,NA,GENERAL,GENERAL,NA,,,,,
Unprotected by international allies,Unprotected by international allies (4 items),,NA,UNP,UNP,NA,,,,,
Abandoned by media (censorship),Abandoned by media (censorship; 6 items),,NA,CENS,CENS,NA,,,,,
Abandoned by own state,Abandoned by own state (5 items),,NA,ABAN,ABAN,NA,,,,,
Distrust/ betrayal/ abandonment,,,NA,NA,AB,NA,,,,,
DISTRUST/BETRAYAL/ABANDONMENT: anger (2 items),,,NA,Aang,NA,NA,,,,,
DISTRUST/BETRAYAL/ABANDONMENT: irritation (2 items),,,NA,Airr,NA,NA,,,,,
Superiority China,Superiority China (11 items),,NA,SUchi,SUchi,NA,,,,,
Superiority Russia,Superiority Russia (12 items),,NA,SUru,SUru,NA,,,,,
The LGBT+,The LGBT+ (6 items),,NA,LGBT,LGBT,NA,,,,,
Threat (12 items),,,NA,NA,THREAT,NA,,,,,
THREAT: anger (3 items),,,NA,Tang,NA,NA,,,,,
THREAT: worry (4 items),,,NA,Twor,NA,NA,,,,,
Media consumption intentions,,,NA,MEDIA,NA,NA,,,,,
