item_label_full,item_label_all_wordings,scale,scale_type,S1_raw,S2_raw,S2_canonical,S3,S4,S5_raw,S5_canonical,S1_formative_l1,S1_formative_l2,notes
My state is censoring access to truthful information.,"[""My state is censoring access to truthful information.""]",Abandoned by media (censorship),lower,NA,cen1,cen1,cen1,NA,cen_1,cen1,NA,NA,NA
My state is supporting media you cannot trust.,"[""My state is supporting media you cannot trust.""]",Abandoned by media (censorship),lower,NA,cen2,cen2,cen2,NA,cen_2,cen2,NA,NA,NA
My state actively restricts my freedom of opinion.,"[""My state actively restricts my freedom of opinion.""]",Abandoned by media (censorship),lower,NA,cen3,cen3,cen3,NA,cen_3,cen3,NA,NA,NA
All mainstream media are lying to us.,"[""All mainstream media are lying to us.""]",Abandoned by media (censorship),lower,cens1,cen4,cen4,cen4,NA,cen_4,cen4,NA,NA,NA
Mainstream media are trying to brainwash citizens of my country.,"[""Mainstream media are trying to brainwash citizens of my country.""]",Abandoned by media (censorship),lower,NA,cen5,cen5,cen5,NA,cen_5,cen5,NA,NA,NA
Mainstream media are useless in providing truthful and accurate information.,"[""Mainstream media are useless in providing truthful and accurate information.""]",Abandoned by media (censorship),lower,NA,cen6,cen6,cen6,NA,cen_6,cen6,NA,NA,NA
I'm constantly following media that is banned in my country.,"[""I'm constantly following media that is banned in my country."",""I'm constantly following media that are banned in my country..""]",Access to banned media,lower,cens2,int1,int1,int1,NA,NA,NA,NA,NA,S1: censorship
I trust media that are banned in my country.,"[""I trust media that are banned in my country.""]",Access to banned media,lower,NA,int2,int2,int2,NA,NA,NA,NA,NA,NA
I possess comprehensive knowledge because I know how to access media channels that are banned in my country.,"[""I possess comprehensive knowledge because I know how to access media channels that are banned in my country.""]",Access to banned media,lower,cens3,int3,int3,int3,NA,NA,NA,NA,NA,S1: censorship
"In general, I distrust our international allies.","[""In general, I distrust our international allies.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,NA,Adist,ab1,ab1,ab1,AB_1,ab1,NA,NA,NA
I feel disappointed by the actions of the international allies in protecting my country.,"[""I feel disappointed by the actions of the international allies in protecting my country.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,NA,Adisap,ab2,ab2,ab2,AB_2,ab2,NA,NA,NA
I feel frustrated by how my state addresses citizens' needs.,"[""I feel frustrated by how my state addresses citizens' needs.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,NA,Airr1,ab3,ab3,ab3,AB_3,ab3,NA,NA,NA
I’m angry at my state for failing to protect the interests of its citizens.,"[""I’m angry at my state for failing to protect the interests of its citizens.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,NA,Aang1,ab4,ab4,ab4,AB_4,ab4,NA,NA,NA
I feel sad when I think about how my country takes care of its citizens.,"[""I feel sad when I think about how my country takes care of its citizens.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,NA,Asad,ab5,ab5,NA,AB_5,ab5,NA,NA,NA
I hate my state because it fails to take care of its citizens.,"[""I hate my state because it fails to take care of its citizens.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,NA,Ahate,ab6,ab6,NA,AB_6,ab6,NA,NA,NA
I feel angry because the knowledge I want to access is being censored in my state.,"[""I feel angry because the knowledge I want to access is being censored in my state."",""I feel anger because the information I want to access is being censored in my country."",""I feel anger because the information I want to access is being censored in my country.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,cens4,Aang2,ab7,ab7,ab7,AB_7,ab7,NA,NA,S1: censorship
I'm frustrated because my state bans the media I want to access.,"[""I'm frustrated because my state bans the media I want to access.""]",DISTRUST/BETRAYAL/ABANDONMENT,lower,NA,Airr2,ab8,ab8,ab8,AB_8,ab8,NA,NA,NA
I'm proud of myself because I know how to access media that are banned in my country.,"[""I'm proud of myself because I know how to access media that are banned in my country.""]",NA,NA,cens5,NA,NA,NA,NA,NA,NA,NA,NA,S1: censorship
I feel tense when thinking about potential conflicts with countries like Russia or China.,"[""I feel tense when thinking about potential conflicts with countries like Russia or China.""]",FEAR,higher,NA,Panx1,pa1,pa1,pa1,FEAR_1,pa1,NA,NA,NA
I would feel safer if peace with countries like Russia is struck at any cost.,"[""I would feel safer if peace with countries like Russia is struck at any cost.""]",FEAR,higher,NA,Pfear1,pa2,pa2,NA,FEAR_2,pa2,NA,NA,NA
I would feel safer if peace with countries like China is struck at any cost.,"[""I would feel safer if peace with countries like China is struck at any cost.""]",FEAR,higher,NA,Pfear2,pa3,pa3,NA,FEAR_3,pa3,NA,NA,NA
I would feel safer if peace with countries like Russia or China is struck at any cost,"[""I would feel safer if peace with countries like Russia or China is struck at any cost""]",FEAR,higher,NA,NA,NA,NA,pa2,NA,NA,NA,NA,NA
I’m anxious about the consequences of a conflict with countries like Russia.,"[""I’m anxious about the consequences of a conflict with countries like Russia.""]",FEAR,higher,NA,Panx2,pa4,pa4,NA,FEAR_4,pa4,NA,NA,NA
I’m anxious about the consequences of a conflict with countries like China.,"[""I’m anxious about the consequences of a conflict with countries like China.""]",FEAR,higher,NA,Panx3,pa5,pa5,NA,FEAR_5,pa5,NA,NA,NA
I’m anxious about the consequences of a conflict with countries like Russia or China,"[""I’m anxious about the consequences of a conflict with countries like Russia or China""]",FEAR,higher,NA,NA,NA,NA,pa4,NA,NA,NA,NA,NA
I am angry that we are risking the safety of its citizens by getting involved in a reckless conflict with other countries.,"[""I am angry that we are risking the safety of its citizens by getting involved in a reckless conflict with other countries.""]",FEAR,higher,NA,Pang,pa6,pa6,NA,FEAR_6,pa6,NA,NA,NA
Russia has an important historic mission.,"[""Russia has an important historic mission.""]",Superiority Russia,lower,sup_ru1,suru1,sru1,sru1,NA,SPR Russia_1,sru1,SUPR,NA,NA
Russia will reemerge as the most powerful nation in the world.,"[""Russia will reemerge as the most powerful nation in the world."",""Russia will reemerge as the most powerful country in the world.""]",Superiority Russia,lower,sup_ru2,suru2,sru2,sru2,NA,SPR Russia_2,sru2,NA,RULE,NA
Russia is technologically advanced.,"[""Russia is technologically advanced.""]",Superiority Russia,lower,sup_ru3,suru3,sru3,sru3,NA,SPR Russia_3,sru3,SUPR,NA,NA
Russia has innovative military technologies.,"[""Russia has innovative military technologies.""]",Superiority Russia,lower,sup_ru4,suru4,sru4,sru4,NA,SPR Russia_4,sru4,SUPR,NA,NA
Russian hackers are able to hack any institution in the world.,"[""Russian hackers are able to hack any institution in the world.""]",Superiority Russia,lower,sup_ru5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russia represents a unique Slavic civilization.,"[""Russia represents a unique Slavic civilization.""]",Superiority Russia,lower,sup_ru6,suru5,sru5,sru5,NA,SPR Russia_5,sru5,SUPR,NA,NA
Russian culture is a superior culture.,"[""Russian culture is a superior culture.""]",Superiority Russia,lower,sup_ru7,suru6,sru6,sru6,NA,SPR Russia_6,sru6,SUPR,NA,NA
Russia is the last bastion of anti-systemic and anti-global forces in Europe.,"[""Russia is the last bastion of anti-systemic and anti-global forces in Europe.""]",Superiority Russia,lower,sup_ru8,suru7,sru7,sru7,NA,SPR Russia_7,sru7,NA,NA,NA
Russia is able to defend its core values.,"[""Russia is able to defend its core values.""]",Superiority Russia,lower,sup_ru9,suru8,sru8,sru8,NA,SPR Russia_8,sru8,SUPR,NA,NA
Russia is able to take good care of its citizens.,"[""Russia is able to take good care of its citizens.""]",Superiority Russia,lower,sup_ru10,suru9,sru9,sru9,NA,SPR Russia_9,sru9,SUPR,NA,NA
Russia has a unique spiritual potential.,"[""Russia has a unique spiritual potential.""]",Superiority Russia,lower,sup_ru11,suru10,sru10,sru10,NA,SPR Russia_10,sru10,SUPR,NA,NA
Siberian cedar is a tree of exceptional spiritual importance.,"[""Siberian cedar is a tree of exceptional spiritual importance.""]",Superiority Russia,lower,sup_ru12,NA,NA,NA,NA,NA,NA,SUPR,NA,NA
Russia draws its strength from its places of spiritual importance.,"[""Russia draws its strength from its places of spiritual importance.""]",Superiority Russia,lower,sup_ru13,suru11,sru11,sru11,NA,SPR Russia_11,sru11,SUPR,NA,NA
Russia will protect us if needed.,"[""Russia will protect us if needed.""]",Superiority Russia,lower,NA,suru12,sru12,sru12,NA,SPR Russia_12,sru12,NA,NA,NA
Putin's strong and masculine personality resonates well with me.,"[""Putin's strong and masculine personality resonates well with me.""]",Superiority Russia,lower,sup_ru14,NA,NA,NA,NA,NA,NA,SUPR,NA,NA
Putin is a strong leader standing up against the West.,"[""Putin is a strong leader standing up against the West.""]",Superiority Russia,lower,sup_ru15,NA,NA,NA,NA,NA,NA,SUPR,NA,NA
China has an important historic mission.,"[""China has an important historic mission.""]",Superiority China,lower,sup_kin1,such1,ski1,ski1,NA,SPR China_1,ski1,SUPK,NA,NA
China will reemerge as the most powerful nation in the world.,"[""China will reemerge as the most powerful nation in the world."",""China will reemerge as the most powerful country in the world.""]",Superiority China,lower,sup_kin2,such2,ski2,ski2,NA,SPR China_2,ski2,NA,RULE,NA
China will soon have full control over the world economy.,"[""China will soon have full control over the world economy.""]",Superiority China,lower,sup_kin3,such3,ski3,ski3,NA,SPR China_3,ski3,SUPK,NA,NA
China is technologically advanced.,"[""China is technologically advanced.""]",Superiority China,lower,sup_kin4,such4,ski4,ski4,NA,SPR China_4,ski4,SUPK,NA,NA
China has innovative military technologies.,"[""China has innovative military technologies.""]",Superiority China,lower,sup_kin5,such5,ski5,ski5,NA,SPR China_5,ski5,SUPK,NA,NA
Chinese agents are able to infiltrate into any institution in the world.,"[""Chinese agents are able to infiltrate into any institution in the world.""]",Superiority China,lower,sup_kin6,NA,NA,NA,NA,NA,NA,SUPK,NA,NA
China represents a unique civilization.,"[""China represents a unique civilization.""]",Superiority China,lower,sup_kin7,such6,ski6,ski6,NA,SPR China_6,ski6,SUPK,NA,NA
Chinese culture is a superior culture.,"[""Chinese culture is a superior culture.""]",Superiority China,lower,sup_kin8,such7,ski7,ski7,NA,SPR China_7,ski7,SUPK,NA,NA
China is successfully reshaping the global system for its own purposes.,"[""China is successfully reshaping the global system for its own purposes.""]",Superiority China,lower,sup_kin9,such8,ski8,ski8,NA,SPR China_8,ski8,SUPK,NA,NA
China is able to defend its core values.,"[""China is able to defend its core values.""]",Superiority China,lower,sup_kin10,such9,ski9,ski9,NA,SPR China_9,ski9,SUPK,NA,NA
China is able to take good care of its citizens..,"[""China is able to take good care of its citizens..""]",Superiority China,lower,sup_kin11,such10,ski10,ski10,NA,SPR China_10,ski10,SUPK,NA,NA
China will protect us if needed.,"[""China will protect us if needed.""]",Superiority China,lower,NA,such11,ski11,ski11,NA,SPR China_11,ski11,NA,NA,NA
"To a certain extent, I admire Russia.","[""To a certain extent, I admire Russia.""]",SUPERIORITY,higher,NA,Sru1,fru1,fru1,fru1,Superiority_1,sup1,NA,NA,NA
"Sometimes, I feel inspired by the actions of Russia.","[""Sometimes, I feel inspired by the actions of Russia."",""Sometimes I feel inspired by Russia"",""Sometimes I feel inspired by Russia""]",SUPERIORITY,higher,NA,Sru2,fru2,fru2,fru2,Superiority_2,sup2,NA,NA,NA
Russia gives me hope.,"[""Russia gives me hope.""]",SUPERIORITY,higher,NA,Sru3,fru3,fru3,fru3,Superiority_3,sup3,NA,NA,NA
I respect Russia.,"[""I respect Russia.""]",SUPERIORITY,higher,NA,Sru4,fru4,fru4,NA,Superiority_4,sup4,NA,NA,NA
"To a certain extent, I admire China.","[""To a certain extent, I admire China.""]",SUPERIORITY,higher,NA,Sch1,fch1,fch1,fch1,Superiority_5,sup5,NA,NA,NA
"Sometimes, I feel inspired by the actions of China.","[""Sometimes, I feel inspired by the actions of China."",""Sometimes I feel inspired by China"",""Sometimes I feel inspired by China""]",SUPERIORITY,higher,NA,Sch2,fch2,fch2,fch2,Superiority_6,sup6,NA,NA,NA
China gives me hope.,"[""China gives me hope.""]",SUPERIORITY,higher,NA,Sch3,fch3,fch3,fch3,Superiority_7,sup7,NA,NA,NA
I respect China.,"[""I respect China.""]",SUPERIORITY,higher,NA,Sch4,fch4,fch4,NA,Superiority_8,sup8,NA,NA,NA
It is a mistake that we are not allowed to collaborate with states such as China.,"[""It is a mistake that we are not allowed to collaborate with states such as China.""]",Pragmatism China,lower,prag_kin1,pch1,pch1,pch1,NA,PRG CHINA_1,pkin1,ANXK,NA,NA
Taiwan should finally stop provoking China.,"[""Taiwan should finally stop provoking China.""]",Pragmatism China,lower,prag_kin2,pch2,pch2,pch2,NA,PRG CHINA_2,pkin2,ANXK,NA,NA
We should not become enemies with countries like China.,"[""We should not become enemies with countries like China.""]",Pragmatism China,lower,prag_kin3,pch3,pch3,pch3,NA,PRG CHINA_3,pkin3,NA,FEAR,NA
The West should not behave aggressively towards countries like China.,"[""The West should not behave aggressively towards countries like China.""]",Pragmatism China,lower,prag_kin4,pch4,pch4,pch4,NA,PRG CHINA_4,pkin4,ANXK,NA,NA
Countries like China never attack without being provoked.,"[""Countries like China never attack without being provoked.""]",Pragmatism China,lower,prag_kin5,pch5,pch5,pch5,NA,PRG CHINA_5,pkin5,ANXK,NA,NA
China is like a sleeping dragon that we should not wake up.,"[""China is like a sleeping dragon that we should not wake up.""]",Pragmatism China,lower,prag_kin6,pch6,pch6,pch6,NA,PRG CHINA_6,pkin6,ANXK,NA,NA
It is a mistake that we are not allowed to collaborate with such states as Russia.,"[""It is a mistake that we are not allowed to collaborate with such states as Russia.""]",Pragmatism Russia,lower,prag_ru1,pru1,pru1,pru1,NA,Pragm Russia_1,pru1,ANXR,NA,NA
Countries like Ukraine should finally start building good relations with Russia.,"[""Countries like Ukraine should finally start building good relations with Russia.""]",Pragmatism Russia,lower,prag_ru2,pru2,pru2,pru2,NA,Pragm Russia_2,pru2,ANXR,NA,NA
We should not become enemies with countries like Russia.,"[""We should not become enemies with countries like Russia.""]",Pragmatism Russia,lower,prag_ru3,pru3,pru3,pru3,NA,Pragm Russia_3,pru3,NA,FEAR,NA
The West should not behave aggressively towards countries like Russia.,"[""The West should not behave aggressively towards countries like Russia.""]",Pragmatism Russia,lower,prag_ru4,pru4,pru4,pru4,NA,Pragm Russia_4,pru4,ANXR,NA,NA
Countries like Russia never attack without being provoked.,"[""Countries like Russia never attack without being provoked.""]",Pragmatism Russia,lower,prag_ru5,pru5,pru5,pru5,NA,Pragm Russia_5,pru5,ANXR,NA,NA
Russia is like a sleeping bear that we should not wake up.,"[""Russia is like a sleeping bear that we should not wake up.""]",Pragmatism Russia,lower,prag_ru6,pru6,pru6,pru6,NA,Pragm Russia_6,pru6,ANXR,NA,NA
I have a very negative feeling about how my state handles external threats.,"[""I have a very negative feeling about how my state handles external threats.""]",GENERAL,higher,NA,gen1,gen1,gen1,gen1,gen_1,gen1,NA,NA,NA
I dislike the actions of our international allies in ensuring the safety of my state.,"[""I dislike the actions of our international allies in ensuring the safety of my state.""]",GENERAL,higher,NA,gen2,gen2,gen2,gen2,gen_2,gen2,NA,NA,NA
I fear the consequences of provoking countries like Russia.,"[""I fear the consequences of provoking countries like Russia.""]",GENERAL,higher,NA,gen3,gen3,gen3,NA,gen_3,gen3,NA,NA,NA
I fear the consequences of provoking countries like China.,"[""I fear the consequences of provoking countries like China.""]",GENERAL,higher,NA,gen4,gen4,gen4,NA,gen_4,gen4,NA,NA,NA
I fear the consequences of provoking countries like Russia or China,"[""I fear the consequences of provoking countries like Russia or China""]",GENERAL,higher,NA,NA,NA,NA,gen3,NA,NA,NA,NA,NA
I like Russia.,"[""I like Russia.""]",GENERAL,higher,NA,gen5,gen5,gen5,gen5,gen_5,gen5,NA,NA,NA
I trust Russia.,"[""I trust Russia.""]",GENERAL,higher,NA,gen6,gen6,gen6,NA,gen_6,gen6,NA,NA,NA
I like China.,"[""I like China.""]",GENERAL,higher,NA,gen7,gen7,gen7,gen7,gen_7,gen7,NA,NA,NA
I trust China.,"[""I trust China.""]",GENERAL,higher,NA,gen8,gen8,gen8,NA,gen_8,gen8,NA,NA,NA
Our national interests are more important than other countries' interests.,"[""Our national interests are more important than other countries' interests.""]",Poisonous ethnocentrism,lower,NA,cet1,cet1,cet1,NA,cet_1,cet1,NA,NA,NA
We should protect our nation's interests by any means necessary.,"[""We should protect our nation's interests by any means necessary.""]",Poisonous ethnocentrism,lower,NA,cet2,cet2,cet2,NA,cet_2,cet2,NA,NA,NA
"Preserving our culture, language, and identity as the predominant one in our country is of utmost importance for us.","[""Preserving our culture, language, and identity as the predominant one in our country is of utmost importance for us.""]",Poisonous ethnocentrism,lower,NA,cet3,cet3,cet3,NA,cet_3,cet3,NA,NA,NA
Everything that is non-Lithuanian may threaten the survival of our nation-state.,"[""Everything that is non-Lithuanian may threaten the survival of our nation-state."",""Everything that is non-German may threaten the survival of our nation-state.""]",Poisonous ethnocentrism,lower,NA,cet4,cet4,cet4,NA,cet_4,cet4,NA,NA,NA
Our enemies are constantly threatening our national interests.,"[""Our enemies are constantly threatening our national interests.""]",Poisonous ethnocentrism,lower,NA,cet5,cet5,cet5,NA,cet_5,cet5,NA,NA,NA
"We should protect our culture, language and identity from foreign influences.","[""We should protect our culture, language and identity from foreign influences.""]",Poisonous ethnocentrism,lower,NA,cet6,cet6,cet6,NA,cet_6,cet6,NA,NA,NA
We should not easily adopt values and lifestyles that are imposed on us from outside,"[""We should not easily adopt values and lifestyles that are imposed on us from outside""]",Poisonous ethnocentrism,lower,poi1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Outsiders from abroad are constantly threatening our national identity.,"[""Outsiders from abroad are constantly threatening our national identity.""]",Poisonous ethnocentrism,lower,poi2,NA,NA,NA,NA,NA,NA,NA,NA,NA
We should keep the land where our ancestors lived for ourselves.,"[""We should keep the land where our ancestors lived for ourselves.""]",Poisonous ethnocentrism,lower,poi4,NA,NA,NA,NA,NA,NA,NA,NA,NA
We should protect our traditions from outsiders.,"[""We should protect our traditions from outsiders.""]",Poisonous ethnocentrism,lower,poi5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"By joining unions like the EU or NATO, we are losing our independence.","[""By joining unions like the EU or NATO, we are losing our independence."",""By joining unions like the EU and NATO, we are losing our independence.""]",Poisonous ethnocentrism,lower,poi6,cet7,cet7,cet7,NA,cet_7,cet7,USE,NA,NA
